Article
<p>By CCN.com: The CEO of Binance, the world’s largest bitcoin exchange, is courting Elon Musk to hop on the crypto bandwagon by teasing a proprietary SpaceX cryptocurrency. CZ: Crypto can finance space exploration Binance CEO Changpeng Zhao made the pitch on Twitter, where he quipped: &#8220;SpaceXcoin, Elon Musk. Space exploration shall be funded globally using crypto. Investors shall have their names inked on the blockchain.&#8221; Zhao has been called the &#8220;Mark Zuckerberg of Crypto&#8221; for his pioneering efforts with Binance, which rocketed become the No. 1 cryptocurrency exchange two years after it launched in 2017. Zhao earned the moniker from </p>

<p>By CCN.com: Binance CEO Changpeng Zhao boldly claims that cryptocurrency will reach more users than the internet in a matter of years. His wildly bullish prediction suggests that over 4 billion people on the planet will use crypto in the near future. In a few years, there will be more users in #crypto than there are users for internet today. &#8212; CZ Binance (@cz_binance) April 30, 2019 Crypto: bigger than the internet Current estimates suggest that 58 percent of the global population have access to the internet. That’s a total of 4.4 billion people with China, India, and the United </p>

<p>A few weeks after Binance delisted the Bitcoin SV altcoin, self-proclaimed Satoshi Nakamoto, Craig Wright, has slammed the world’s largest crypto exchange calling it a ‘super bucket shop’. In an interview with Finder, Wright accused Binance of engaging in wash trading and money laundering: You have things like CZ (Changpeng Zhao, Binance CEO) there and Binance which is super bucket shop which are basically money laundering organizations. They wash trades and money laundering. That’s how they make money. Additionally, Wright also alleged that the leading cryptocurrency exchange engages in market manipulation. Per the self-proclaimed Satoshi, Binance engages in pumping the </p>

<p>By CCN.com: ATOM, the native crypto asset of the highly anticipated Cosmos blockchain network, has been listed by Binance, the world’s largest crypto exchange. Changpeng Zhao, the CEO of Binance, said that the development team behind Cosmos refused to communicate with exchanges regarding listing opportunities but Binance proactively listed it due to its support of the project. “Here is a project that refused to even talk to an exchange about listing (and we have a good relationship with their tech guys), but we list it anyway. Good tech wins!” said Zhao. What is Cosmos and why is the crypto community </p>

<p>By CCN.com: Facebook CEO Mark Zuckerberg is a megalomaniac who&#8217;s launching blockchain and cryptocurrency projects in order to squeeze crypto companies out of the dominance he eventually wants to assert over the space. That&#8217;s the opinion of Binance CFO Wei Zhou. Misguided bitcoin evangelists have been heaping praise on Facebook for experimenting with blockchain and for saying it might launch its own digital currency. They believe that having a massive multinational conglomerate like Facebook test out use cases for blockchain is lending legitimacy to the nascent industry. However, Zhou — a former Harvard classmate of the Facebook chairman — says </p>

<p>By CCN.com: Binance Coin (BNB) is the best performing crypto asset in the global market with the exception of cryptocurrencies that launched in 2019. According to OnChainFX, BNB was the only crypto asset to achieve an all-time high this year since 2017 and it is down about 9 percent from its record high. In contrast, bitcoin, which has performed relatively well throughout the past year, is down about 73 percent from its all-time high. Most ERC20 tokens in the market are down about 90 to 99 percent against the U.S. dollar. Why Binance Coin (BNB) Appealed to Crypto Investors Throughout </p>

<p>By CCN: These are heady times for Binance Coin (BNB), the in-house cryptocurrency launched by the world&#8217;s largest crypto exchange, Binance. BNB hit a new all-time high a few days ago and the exchange successfully launched Binance chain, which features BNB and marks the coin&#8217;s independence from Ethereum. The cryptosphere has been filled with noises about BNB possibly being the new &#8220;Ethereum killer.&#8221; Weiss Ratings took the conversation a step further, suggesting that BNB might even be the new bitcoin. It seems #BNB is leading the market now – when BNB is up, the market is up – and vice </p>

<p>By CCN.com: The world’s largest crypto exchange Binance has launched Binance Decentralized Exchange (DEX) on April 23 following the official release of the Binance Chain mainnet. Binance DEX, a non-custodial and decentralized exchange that operates on top of the Binance Chain blockchain protocol, enables users to trade crypto assets while maintaining full control over their funds at all times, processing trades on the blockchain. Changpeng Zhao, the CEO of Binance better known to the community as CZ, told CCN in an exclusive interview that Binance DEX developers have worked to implement ideas suggested by developers in the crypto community to </p>

<p>Binance, the world’s largest cryptocurrency exchange, announced the delisting of Bitcoin SV (BSV) on Monday after CEO and founder Changpeng Zhao decided he’d had enough of the antics of Fake Satoshi, Craig S. Wright. Within hours, Kraken and Shapeshift followed suit. You’d have to travel far and wide to find anyone gullible enough to defend Craig Wright at this point, but there’s a case to be made that by delisting BSV on a whim, Binance has shown itself to be a much more dangerous and pernicious force in the crypto space than Bitcoin SV ever could have been. Binance’s CZ </p>

<p>By CCN.com: Year-to-date, the bitcoin price has increased by 44 percent against the U.S. dollar from $3,700 to $5,320, becoming one of the best-performing assets in the global market alongside oil. 2019 Returns&#8230;Bitcoin $BTC: +39%Oil $USO: +38%Nasdaq 100 $QQQ: +22%S&#38;P 500 $SPY: +17%Small Caps $IWM: +17%MLPs $AMLP: +16%REITs $VNQ: +15%EM $EEM: +14%EAFE $EFA: +13%Commodities $DBC: +12%High Yield $HYG: +8%Investment Grade $LQD: +6%Bonds $AGG: +2%Gold $GLD: -1% &#8212; Charlie Bilello (@charliebilello) April 19, 2019 The initial 20 percent rally from bitcoin in early April from $4,200 to $5,000 drastically changed the sentiment around the crypto market and investors generally expected bitcoin </p>

<p>By CCN.com: Binance Coin (BNB) is reasonably on the radar now for investors seeking bullish momentum. The Binance crypto exchange&#8217;s native token established a new 52-week high, up 81.49-percent from its 52-week low price of $4.19. The move prompted BNB to come closer to retesting its all-time high price of $24.91, which was accomplished during the January 12 trading session in 2018. But are there more gains in store for this crypto asset? Let&#8217;s take a quick look at its near-term market outlook to understand where it might head next. Mainnet Launch in Focus Binance on Thursday announced that it would </p>

<p>By CCN.com: Over the past 24 hours, the bitcoin price briefly surpassed the $5,300 mark in a short-term spike but retraced back to the $5,200 region. In the past 30 days, as the bitcoin price gained 31.3 percent against the U.S. dollar, the valuation of the crypto market increased by $40 billion. Strong performances of alternative cryptocurrencies such as Enjin Coin and Binance Coin, which recorded 404 percent and 266 percent year-to-date gains respectively, pushed the momentum of the crypto market further. Technical Indicators Showing Bullish Trend For Bitcoin For the first time since May 2015, a technical indicator called </p>

<p>By CCN: Vitalik Buterin is known first and foremost as the creator of Ethereum, but he&#8217;s also famous for his disdain of centralized exchanges. After previously wishing that centralized exchanges would all &#8220;burn in hell&#8221;, now Buterin is coming to their defense. In an exposition reminding the crypto community about the pillars of the First Amendment to the U.S. Constitution, Buterin tackles one of the most controversial issue dominating crypto at the moment &#8212; Craig Wright and his brainchild Bitcoin SV. &#8220;I personally have been a critic of the power wielded by centralized exchanges. Should I oppose #DelistBSV on free speech </p>

