Article
<p>By CCN: A man from the English channel island of Jersey just wanted to buy bitcoin. In actuality, the unfortunate victim gave away an eye-popping $1.6 million in life savings to crypto scammers. The Jersey Evening Post reports the thieves promised the victim 1,500% returns on his investments. According to the Post, a spokesperson for the Jersey Financial Services Commission said: &#8220;The victim was engaged for over an 18-month period and they were able to build trust prior to getting the victim to send the greater amounts.&#8221; Detectives and other employees at the U.K. National Crime Agency say it is </p>

<p>By CCN: The bitcoin price surged as much as 7.60-percent on Friday to establish a new 2019 peak at $5,796.93. The uptrend pushed bitcoin&#8217;s year-to-date rally to an impressive 54.08-percent. At the same time, it brought the asset&#8217;s total recovery to an astounding 82-percent and set the cryptocurrency well on its way to a fresh record high. Here are three factors that indicate the bitcoin price has not only found a bottom but is also well on its way to smashing through the $20,000 peak it set in late 2017. Reason 1: Moving Averages Mimic Historical Pattern from 2015 Yesterday, </p>

<p>By CCN: Bitcoin now has its very own version of “Adult Swim.” A cartoon called Bitcoin and Friends will soon be launching its second episode pending fundraising through a combination of donations and sponsorships. The cartoon features the voice of rap artist Petey Pablo who plays Jones, a car dealer turned ice cream truck driver/drug dealer. Bitcoin&#8217;s Own South Park Bitcoin the character is born into a dark world blown out by the 2008 financial crisis. Every 10 minutes or so, he spews out a bunch of children who go scurrying off-screen. Satoshi Nakamoto is featured in the first couple </p>

<p>By CCN: Even as he sues his critics left, right, and center over their refusal to recognize him as Satoshi Nakamoto, self-declared Bitcoin creator Craig Wright continues to drop bombshells that ignite even more controversy. Speaking during a Bitcoin Wednesday event in Amsterdam, the Bitcoin SV figurehead indicated that the only reason he outed himself as Satoshi Nakamoto was to right what had gone wrong with his alleged creation: &#8220;Part of why I f*cking disappeared was to have things not controlled, and I have to come back to control things, to get it f*cking not controlled, that’s the freaking irony </p>

<p>By CCN: The crypto virus continues to spread, and wealthy investors are rapidly contracting the bitcoin bug. That’s the conclusion from a blockbuster survey conducted by deVere Group, a wealth adviser with more than 80,000 clients and $12 billion under advisement. Almost Every Wealthy Investor Will Own Crypto by 2022 The survey, which included responses from 700 deVere clients across the world with at least £1 million in investable assets, found that 68% of high-net-worth investors plan to invest in bitcoin or other cryptocurrencies within the next three years. “The research shows that wealthy individuals are increasingly seeking exposure to </p>

<p>By CCN.com: Independent research firm Fundstrat Global Advisors had accurately called bitcoin’s crash late last year when the cryptocurrency was trading at $5,500 levels, but it now believes that the bad days are over and the time to buy is here once again. When Sluymer says, you listen Fundstrat technical strategist Robert Sluymer, who had made the negative call in mid-November last year, believes that bitcoin is all set for a rally in the second half of the year as he sees bullish long-term technical trends developing. He tells clients to use the “recent weakness to accumulate” bitcoin, according to </p>

<p>By CCN.com: In the past 24 hours, the bitcoin price has increased by 6 percent against the U.S. dollar as the real spot volume of the dominant cryptocurrency spiked to $800 million. In the first week of March, the daily volume of bitcoin was estimated to be around $270 million. In less than a month, the spot volume of the asset surged 196 percent. But, due to the controversy around Tether that has created a $300 to $400 premium, cryptocurrency trader DonAlt said that he expects bitcoin to fall below $5,000. why bitcoin premium on bitfinex is bad news As </p>

<p>By CCN.com: Anyone who has been looking forward to watching Cryptocurrency maverick and anti-virus software guru John McAfee feast on his male member stands to be disappointed. This is because the 2020 U.S. presidential candidate still stands by his prediction that bitcoin will reach $1,000,000 by the end of next year. In a tweet referencing an article in which he was mentioned as one of cryptocurrency personalities who have made bold price predictions, McAfee warned that anyone who had been planning to purchase a ‘front row seat’ to watch him eat his penis is unlikely to get their wish fulfilled. </p>

<p>By CCN.com: Where&#8217;s Satoshi? Henry Ford fathered the auto industry, and Steve Jobs launched a cultural obsession with smartphones. Yet the crypto industry, now at $170 billion, doesn’t know who fathered Bitcoin. A new website is making the rounds on the social web, stoking speculation about what it could mean for the mystery of Satoshi Nakamoto. Gotsatoshi.com launched around this past weekend with no hint as to who built the site, or what it’s for. The only clues are a ticking clock and promise of a &#8220;live unveiling.&#8221; Is this a hoax, or an epic unmasking? Let’s break down some theories. </p>

<p>By CCN.com: The bitcoin price has increased from $5,341 to $5,587 on Coinbase, getting close to surpassing a 2019 high at $5,594. In some crypto major markets, the bitcoin price surged past $5,600. According to Peter Brandt, a technical analyst and a best-selling author, a technical indicator called the Factor’s benchmark weekly moving average (MA) has formed a similar structure it showed in 2015. “The last time Factor&#8217;s benchmark weekly MA was in the current profile of turning from down to up was in Nov 2015 just as $BTC began its move from $340 to $19,800,” Brandt said. The last </p>

<p>By CCN.com: Berkshire Hathaway just bought its first Amazon shares, Berkshire founder and CEO Warren Buffett revealed to CNBC Thursday night. On the eve of an annual Berkshire shareholders meeting in Omaha, Buffett told CNBC that someone at Berkshire&#8217;s asset management desk just invested in some Amazon shares, but &#8220;it wasn&#8217;t me.&#8221; &#8220;One of the fellows in the office that manage money&#8230; bought some Amazon so it will show up in the 13F.&#8221; Amazon stock purchase a first for Warren Buffet The stake in Amazon is a first for the multinational investment conglomerate. Although Warren Buffett has had strong words </p>

<p>By CCN: Gold may have a value of $7.8 trillion, but it isn&#8217;t happy about giving any of that up to bitcoin, the latter of which has a market cap of $97.2 billion. A day after Grayscale unleashed its &#8220;Drop Gold promotion, a TV commercial that garnered 100,000 views in less than 24 hours, the World Gold Council is clapping back. Gold&#8217;s reputation as a store of value has gone pretty much uncontested for thousands of years – until bitcoin, which has earned the reputation as digital gold in addition to its use case as a currency. In a tweet, </p>

<p>By CCN: Fidelity Digital Assets, a subsidiary of the world’s fourth-largest asset manager with $2.46 trillion in assets under management, said in a research paper that institutional investments in bitcoin and other crypto assets are likely to increase over the next five years. The research read: &#8220;Nearly half of respondents (47%) appreciate that digital assets are an innovative technology play. 46% find digital assets’ low correlation to other assets among the most appealing characteristic. Financial advisors (74%) and family offices (80%) view the characteristics of digital assets most favorably.&#8221; We asked: what do institutions really think about #digitalassets? https://t.co/3Lq5h5ITbT &#8212; </p>

<p>By CCN: Square might have had a mixed first quarter performance, but the Cash App, which is where investors buy and sell bitcoin, was a bright spot. Bitcoin revenue nearly doubled to $65.5 million from $34 million in the year-ago period. Cash App volume, where the company boasts &#8220;15 million monthly active users,&#8221; expanded more than 100% since last year&#8217;s Q1. Square&#8217;s bitcoin revenue has been steadily increasing since Q1 2018, during a bear market no less. It&#8217;s a reflection of retail investor demand, given the peer-to-peer nature of the Cash App. Square also placed a $10,000 weekly cap for </p>

<p>By CCN: Crypto-oriented phone scams are alive and well across the country. One sneaky tactic involves posing as law enforcement, a crime in and of itself,  and then blackmailing victims into paying Bitcoin to avoid legal troubles. Following a case of precisely that in Berkeley, California, New York City police are actively pursuing a broader strategy to combat such scams, and it involves participation from companies that operate Bitcoin ATMs. NYPD &#38; Bitcoin Startups Crack Down on Phone Scams According to the city&#8217;s website, police are working with Bitcoin ATM providers &#8220;regarding their electronic scam messaging and texts and placing </p>

<p>By CCN.com: As the political and economic crisis in Venezuela escalates, citizens of the South American country are taking refuge in Bitcoin. In the final week of April, a record amount of Venezuelan bolivars were spent buying bitcoin per Coin Dance. Specifically, bitcoin worth more than 36.5 billion bolivars were purchased last week. The previous record was bitcoin worth 31.3 billion bolivars which were purchased earlier last month. The record purchase of bitcoin coincided with a rise in political tensions in the Latin American country. Earlier this week opposition leader Juan Guaido urged the country’s military to join civilian protestors </p>

<p>By CCN.com: The widespread adoption of blockchain is taking longer than expected. The slow recovery pace of the cryptocurrency industry is forcing blockchain investors to look for alternative sources of revenue to keep their business afloat. Some blockchain investors are now turning to cannabis to diversify their revenue stream. Tough times call for greener solutions Hong-Kong listed blockchain investor, Grandshores Technology, is diversifying its investment portfolio to include cannabis with a 40 percent investment in Hangzhou Yupu Trading. The demand for cannabis is likely to increase shortly as more countries legalize the medicinal and recreational use of cannabis. Among its </p>

<p>By CCN.com: In the past 24 hours, the bitcoin price has increased by just over 1 percent against the U.S. dollar, extending its year-to-date (YTD) gain to 44.27 percent and leading the crypto market to recovery. Despite the controversy around Tether, which understandably intensified when Stuart Hoegner, the general counsel to Tether and major bitcoin exchange Bitfinex, disclosed in an affidavit that Tether is only backed 74 percent by its cash reserves, bitcoin has rebounded strongly in the past week. “As of the date  I am signing this affidavit, Tether has cash and cash equivalents (short term securities) </p>

<p>By CCN.com: Bitcoin played a role in staging the Easter Sunday suicide bombing in Sri Lanka that killed 253 civilians, according to Israeli blockchain intelligence firm Whitestream. The agency revealed that the ISIS used Canada-based payment gateway CoinPayments to convert bitcoins to fiat money. The firm identified large scale transactions between the wallets that ISIS used to raise contributions and the bitcoin accounts held by CoinPayments. Whitestream found that the balances in the payment company&#8217;s wallets surged from $500,000 to $4.5 million just one day before the Easter attacks. The firm added that the CoinPayments&#8217; balances dropped back to $500,000 </p>

<p>By CCN: According to a new survey commissioned by Blockchain Capital, 11% of American adults hold bitcoin. The results are broken down into people aged 18-34, 35-44, 45-54, 55-64, and 65 and older. Americans Over 65 Know What Bitcoin Is The last group presents the most exciting results, in that they are a group not commonly associated with technology or cryptocurrency at all. However, only 12% of that group hadn’t heard of bitcoin. Additionally, at least 20% of this group was “somewhat” familiar with bitcoin, which is an increase of 5% since the last time the survey was conducted. Contrast </p>

<p>By CCN.com: Goldman Sachs is waiting to throw its hat in the cryptocurrency ring until the U.S. government gives the asset a thumbs-up, American Banker reports. At the DTCC conference this week, Martin Chavez, global co-head of the securities division at Goldman, outlined that we shouldn&#8217;t expect to see the investment bank get more involved with crypto until it has solid backing. That doesn&#8217;t mean they&#8217;re not interested in the technology, however. Chavez notes, &#8220;We still have things that take overnight or a couple of days. The service level agreement is not where we want it. So there’s no question </p>

<p>By CCN.com: U.S. taxpayers can receive all or part of their federal and state tax refunds in bitcoin. This is being made possible through a collaboration between blockchain payments processor BitPay and Refundo, a provider of tax-related financial products. In a statement, Refundo says its CoinRT product is especially useful for low-income communities that don&#8217;t have checking accounts and often resort to paying high check-cashing fees. That said, Refundo&#8217;s CoinRT service is not free. CoinRT costs $34.95 per refund transfer, and that doesn&#8217;t include BitPay&#8217;s 1% service fee. Refundo focuses on low-income communities Refundo specializes in serving low-income communities. Refundo </p>

<p>By CCN: Grayscale Investments is starting a movement urging all investors to drop gold and replace it with the better store-of-value, bitcoin. In a Monday morning Medium post, the digital asset management group announced its new #DropGold campaign. Beyond a catchy hashtag, the anti-gold campaign includes a website, upcoming debate, and a television ad push. Their commercial makes a compelling argument. Why is #gold still in your portfolio? #DropGold &#8212; Grayscale (@GrayscaleInvest) May 1, 2019 Branding Bitcoin as the New Digital Gold Grayscale is attempting to paint bitcoin as the improved, digital form of gold with its new campaign. The </p>

<p>By CCN.com: The CEO of Binance, the world’s largest bitcoin exchange, is courting Elon Musk to hop on the crypto bandwagon by teasing a proprietary SpaceX cryptocurrency. CZ: Crypto can finance space exploration Binance CEO Changpeng Zhao made the pitch on Twitter, where he quipped: &#8220;SpaceXcoin, Elon Musk. Space exploration shall be funded globally using crypto. Investors shall have their names inked on the blockchain.&#8221; Zhao has been called the &#8220;Mark Zuckerberg of Crypto&#8221; for his pioneering efforts with Binance, which rocketed become the No. 1 cryptocurrency exchange two years after it launched in 2017. Zhao earned the moniker from </p>
