Article
<p>By CCN.com: The Bank of Canada and the Monetary Authority of Singapore (MAS) has conducted a successful pilot test of central bank-backed crypto assets to clear cross-border and cross-currency payments. The official statement of MAS released on May 2 described the potential of “central bank digital currencies” in increasing the efficiency and reducing risks for international transactions. “The Bank of Canada and the Monetary Authority of Singapore (MAS) have conducted a successful experiment on cross-border and cross-currency payments using central bank digital currencies. This is the first such trial between two central banks, and has great potential to increase efficiencies </p>

<p>By CCN.com: The London Stock Exchange (LSE) is weighing the benefits of using blockchain technology for issuing stock and settling trades. In an interview with CNBC, the LSE chief executive Nikhil Rathi said he was inspired by early blockchain initiatives at other stock exchanges, and sees the benefit of distributed ledger technology: “You can certainly see distributed ledger technology having an application in the issuance process… I can see that technology being used in settlement too.” LSE, the world’s sixth-largest exchange, has been surprisingly open to blockchain technology. Earlier in 2019, the exchange led a $20 million investment round in </p>

<p>By CCN.com: Forty percent of senior finance executives expect their firms to invest in blockchain technology over the next two years, according to a recent survey by audit firm Grant Thornton LLP. That’s in addition to the 22 percent who report their firms have already implemented the technology. This marks a dramatic change from only a year ago, when blockchain was more talked about than practiced, according to Chris Stephenson, Business Consulting principal at Grant Thornton LLP and author of the report. In its 2019 CFO Survey, Grant Thornton along with partner CFO Research surveyed 378 senior finance executives in </p>

<p>By CCN: Moody’s is one of the world’s best-known rating agencies, and it appears they are ready to admit they see some upside in blockchain technology. They also claim there are systemic risks to conventional finance from the adoption of the tech. Moody&#8217;s Is Concerned About &#8220;Concentrated Risk&#8221; When Using Blockchain Yes, you heard that correctly. Moody’s angle is not that blockchain technology is displacing and disrupting archaic financial systems. Instead, they argue that its application is risky: “New key transaction parties will be introduced to the process, namely the entities that serve as developer, provider, and operator of a </p>

<p>By CCN.com: A bill introduced this week in the Ohio House of Representatives urges government entities to adopt blockchain, the technology underpinning bitcoin. Republican state representative Rick Carfagna sponsored the bill. The legislation, called House Bill 220, is part of Ohio&#8217;s plan to provide a legal framework for distributed ledger technology such as blockchain (see text below). Rep. Carfagna did not return CCN&#8217;s calls for comment. The legislation would enable the establishment of a decentralized online record for transactions such as car titles or hunting licenses, according to Cleveland.com. Ohio has been making strides to become more crypto-friendly as part </p>

