Article
<p>Startup financing took a dramatic turn in 2017 as initial coin offerings (ICOs) burst onto the scene. In 2017 and 2018, more than $14 billion flowed into blockchain projects as investors looked to capitalize on crypto euphoria and the low barriers to entry made possible by the ICO funding model. It has been less than a year since the market for ICOs went bust, but the impact of the new crowdfunding model will endure for many years to come as startups look to tokenize real assets and leverage the power of the crowd to finance their next major project. But </p>

<p>Regulators can be blamed for just about everything. The team behind the Thor token is pointing the finger at them for the shuttering of their own operations. However, given Thor raised an impressive $21 million for its crypto project just last year, the excuse is falling on many deaf ears. There was speculation that something was amiss at the company before it made its announcement this week. For example, Thor reportedly locked its Telegram account so that users could not make comments. Some Thor token holders took matters into their own hands: because the main Thor Channel is muted we </p>

<p>A couple years ago, a person named Nick Ayton and his partner, David Lofts, launched an ICO to fund a television show. They then went on to found Chainstarter, which helps ICO-backed projects get off the ground. Chainstarter&#8217;s Use of 21 Million ICO Money A deep-dive by Cointelligence paints a much darker picture of the project and its goals. On Yavin, a researcher at Cointelligence, tells the story from beginning to end. Riveting, to say the least, if you have an interest in blockchain projects, the report details how Nick Ayton and David Lofts eventually parted ways on bad terms </p>

<p>Thailand Securities and Exchange Commission (SEC) has approved a portal that would screen Initial Coin Offering projects (ICOs). The securities regulator told the Bangkok Post they interviewed &#8220;roughly&#8221; 7-8 portals for the job of selecting ICOs, conducting due diligence, reviewing smart contract codes, and verifying the know-your-customer process. Eventually, the SEC&#8217;s board of directors approved one ICO portal out of all. The commission refused to share any further details about the selected company, except that it was a non-Thailand venture. Archari Suppiroj, the SEC&#8217;s director of Fintech, confirmed that the commission had forwarded its selection to the relevant government agencies, including </p>

<p>ICOs are not dead. Not when one of the world&#8217;s biggest tech corporations is venturing into it. Microsoft Azure, a cloud computing service created by Microsoft, recently listed Stratis in its products&#8217; section. The platform, created by London-based Stratis Group, offers a web-based application that enables initial coin offering projects to manage token distribution. It facilitates a secure and flexible payment route that participants use to purchase ICO tokens ahead of the initial allocation. They pay with either Bitcoin or Strat, Stratis&#8217; native token. Find out how @StratisPlatform on #Azure can help you manage a successful initial coin offering: https://t.co/86efOPCmQ7 </p>

<p>One of the most groundbreaking concepts to emerge from blockchain over its short lifespan has been the initial coin offering, or ICO. In this article, the author will discuss an emerging trend called &#8220;Initial Exchange Offerings&#8221; or IEOs. Reading about blockchain or cryptocurrency in any newspaper will allude to this unique type of public offering, which draws parallels with its cousin the IPO. An ICO is when a company issues blockchain tokens that it will then sell in exchange for common cryptocurrencies like Bitcoin or Ethereum, which are more fungible. The fuzzy regulatory status of ICOs and their resulting tokens </p>

<p>According to a report released by Kate Rooney, a markets reporter at CNBC, two congressmen &#8212; Warren Davidson and Darren Soto &#8212; are preparing a bipartisan bill to exclude crypto from the country’s securities law. The bill, entitled “Token Taxonomy Act,” is set to be introduced to the House in the months to come in an attempt to facilitate the growth of the cryptocurrency sector of the U.S. Could it Relieve Pressure on Crypto Assets and Tokens? If passed by the House, the bill will eliminate cryptocurrencies and initial coin offering (ICO) tokens from the scope of the U.S. Securities </p>

<p>The French financial watchdog, the Financial Markets Regulator (AMF), has blacklisted four more cryptocurrency websites in their ongoing mission to stamp out unauthorized crypto firms. As news of riots in France batter the world news, the AMF is also using strong-arm tactics to keep then nation’s crypto sector honest and in-check with their latest move. Official Statement from the AMF on Friday The AMF is the main watchdog that regulates the French stock market and announced on Friday in an official statement that they have blacklisted a further four cryptocurrency websites. The reasons cited for the blacklisting of the websites </p>

<p>The Dallas-based crypto startup AriseBank has been ordered to repay investors to the tune of $2.7 million to fix allegations that the firm was defrauding their investors. Authorities have finally put an end to the ongoing AriseBank saga that has been hanging over the heads of the startup’s founders Stanley Ford and Jared Rice for almost a year. Crypto Startup Fined by the SEC According to the Dallas News, The U.S. Securities and Exchange Commission (SEC) ordered the AriseBank founders on Wednesday to pay back investors who believed that their money was to be used to create a cryptocurrency bank, </p>

<p>Over the past 24 hours, the prices of both Bitcoin (BTC) and Ethereum (ETH) have fallen by more than three percent against the U.S. dollar. The cryptocurrency market experienced an abrupt $4 billion drop in its valuation, by just about 3.5 percent. While major cryptocurrencies struggled to demonstrate signs of a potential corrective rally, small market cap digital assets and ERC20 tokens plunged by more than 10 percent on average. Is the Bottom Far From Here? On December 11, the Bitcoin price dropped from $3,587 at its peak to $3,370. From its daily peak, the dominant cryptocurrency is actually down </p>

<p>Recently, Sirin Labs, an initial coin offering (ICO) project that raised $158 million during the bull market of 2017, made the headlines for its controversial pivot from a hardware-based business model to supplying software to mobile phone manufacturers. According to a report released by Bloomberg, nearly a year since the ICO, the company has not been able to generate any profit and its mobile phone called “Finney” was met with underwhelming demand from the market. The project is now facing a serious funding crunch and its capital is set to run out within 6 to 12 months. Is Strict Regulation </p>

<p>On December 4, seven EU countries led by Malta and France have established a group called the “Mediterranean seven” to encourage and promote the usage of blockchain technology. In the months to come, the seven countries that include France, Italy, Spain, Malta, Cyprus, Portugal and Spain, will work to implement the blockchain in education, transport, mobility, shipping, Land Registry, customers, company registry, and healthcare. The declaration obtained by FT read: “This can result not only in the enhancement of e-government services but also increased transparency and reduced administrative burdens, better customs collection and better access to public information.” Will This </p>

<p>On November 26, the Financial Services Agency (FSA) of Japan held an internal meeting to discuss the possibility of allowing private crypto initial coin offering (ICO) projects. Nikkei exclusively reported that local financial authorities are actively exploring the legalization of ICOs for institutional investors and accredited investors, as long as they are lawfully conducted within the boundaries of existing financial regulations. Will South Korea Follow Japan? Following the report of Nikkei, on December 2, local media outlet JIJI Press reported that the FSA is close to releasing an official guideline on ICO regulation to speed up the process of creating </p>

