Article
<p>By CCN: Charlie Lee can&#8217;t seem to shake his reputation for offloading his Litecoin holdings near the peak. The Litecoin creator was featured in a podcast with Morgan Creek Digital Partner Anthony Pompliano where he fielded some tough questions both about his LTC portfolio and the state of the crypto industry. Something that you might not know is when Charlie decided to sell his Litecoins when the cryptocurrency was trading at approximately $300 he expected the price to go much higher. He said on the podcast: &#8220;I actually personally did think it was going to keep going up. I didn&#8217;t </p>

<p>By CCN.com: The bitcoin price has increased from $5,173 to $5,297 on major regulated crypto exchanges including Coinbase in the past 24 hours, by 2.3 percent. Major crypto assets such as Litecoin and Bitcoin Cash spiked by 4 to 11 percent against the U.S. dollar. The unexpected recovery of the crypto market overnight comes after the office of the New York Attorney General filed a lawsuit against iFinex, alleging Bitfinex of mismanaging the cash reserves of stablecoin Tether. On April 30, as CCN reported, the general counsel of Tether stated in an affidavit that only 74 percent of Tether is </p>

<p>By CCN: It&#8217;s not easy being Charlie Lee. It&#8217;s no secret the Litecoin creator has had to deal with a crypto community that hasn&#8217;t gotten over his LTC portfolio sale. But he&#8217;s also fending off other blockchain projects, many of which have no place in the ecosystem to begin with. Lee took out his frustrations on Twitter, bemoaning the struggle to keep Litecoin in the limelight. &#8220;Watch Litecoin surviving the test of time. It&#8217;s not easy fighting off all the s**tcoins and scamcoins to stay in the top 10.&#8221; Litecoin is currently ranked as the fifth-biggest cryptocurrency on CoinMarketCap, though </p>

<p>By CCN: Crypto investors should do as Charlie Lee says, not as he does. The Litecoin creator was featured as a guest on Laura Shin&#8217;s Unchained podcast, where he defended his decision to liquidate the holdings of the cryptocurrency that he spawned, Litecoin (LTC). Lee, who is a Google alum, is a highly respected individual in the crypto community and his contribution to the ecosystem can&#8217;t be denied, as evidenced by a coin that has muscled its way into the six biggest cryptocurrencies. His decision to sell the cryptocurrency at year-end 2017 near the peak was simply bad PR. He </p>

<p>By CCN: The litecoin price has been one of the cryptocurrency market’s top performers in 2019, climbing a ridiculous 162 percent since the new year. Among large-cap cryptoassets, only binance coin has performed better, and litecoin’s year-to-date rally leaves the bitcoin price’s 40 percent advance in the dust. However, one team of crypto analysts says the sixth-largest cryptocurrency looks poised for a sell-off. Litecoin Price Likely to Crash Through Support &#8211; And That’s OK! Writing in a note to clients on Wednesday, crypto brokerage BitOoda said that a downward wedge has begun to form on the litecoin chart, suggesting that </p>

