Article	Label
delving into the blog of self-proclaimed bitcoin creator craig wright continues to produce combustible findings. this week wright continued his assault on the sea-faring john mcafee, who wright called a criminal, and dared him to take it to court. that might be tough for mcafee, who supposedly lives in international waters while on the run from u.s tax authorities &#8211; and running for president himself. amid this apparent stalemate, craig wright continued to push the prospects of his bitcoin sv project and questioned the wisdom of crypto anonymity. bitcoin sv’s craig wright: crypto anonymity is for criminals writing	1
"the post <a rel=""nofollow"" href="""">bitcoin brawl: &#8216;faketoshi&#8217; craig wright savages &#8216;mcscammer&#8217; mcafee</a> appeared first on <a rel=""nofollow"" href="""">ccn</a>"	1
john de mol, who is behind the reality television hit show &#8220;big brother,&#8221; blames facebook for scammers using his likeness on fraudulent bitcoin-fueled ads that stole nearly $2 million from investors. de mol, who according to forbes is worth $1.7 billion, has reportedly filed a complaint in an amsterdam court against the social media giant for not doing more to prevent the alleged crypto frauds. the ads, which reportedly lured investors to buy bitcoin or engage in crypto-related endeavors that they claimed de mol had a hand in, are now gone. if you don&#8217;t think you know dutch	1
"the post <a rel=""nofollow"" href="""">reality tv&#8217;s big brother creator targets facebook for fake bitcoin ads</a> appeared first on <a rel=""nofollow"" href="""">ccn</a>"	1
&#160; by ccn: thinking of buying bitcoin at current prices? think again. the cryptocurrency has surged so far, so rapidly, that its rally is already starting to crater. while the coming implosion will exert pain across the entire market, it should present new opportunities that savvy investors can leverage to enhance the long-term value of their holdings. one profitable opportunity that we’re monitoring is the flow of capital out of bitcoin and into altcoins. with the capital outflow, the bitcoin dominance index should plunge to a level that favors other cryptocurrencies. in short, the bitcoin price teetering on the brink of	1
"the post <a rel=""nofollow"" href="""">bitcoin price: these charts prove btc will suffer a brutal crash</a> appeared first on <a rel=""nofollow"" href="""">ccn</a>"	1
the beautiful game just got much prettier after european football giant benfica announced they’d be accepting bitcoin and ethereum payments. now, fans of the portuguese primera liga champions can pay for match tickets and club merchandise using cryptocurrency. pic.twitter.com/x3tptsccxk &#8212; sl benfica (@slbenfica_en) june 5, 2019 euro elite benfica accept bitcoin and ethereum this isn’t the first time the footballing elite has flirted with cryptocurrency, but it is the first time its been accepted as regular payment. in the recent past, italian champions juventus played around with the idea of launching its own club token. football supporters	2
"the post <a rel=""nofollow"" href="""">crypto goal! major euro football club now accepts bitcoin &#038; ethereum</a> appeared first on <a rel=""nofollow"" href="""">ccn</a>"	1
bitcoin billionaire and former bitmain ceo jihan wu is set to launch a new crypto trading platform next month that could eventually be granted a monopoly by the chinese government. jihan wu reveals new path in wake of bitmain ipo disaster wu’s project, called matrix, will be a custody and trading firm with substantial ties to bitmain, one of the world’s largest crypto mining conglomerates. the news was first reported by the block. it was assumed that wu left bitmain in disgrace upon his replacement as ceo in early january. wu oversaw the company during its ill-fated filing	1
"the post <a rel=""nofollow"" href="""">ex-bitmain ceo jihan wu unveils china&#8217;s future bitcoin monopoly</a> appeared first on <a rel=""nofollow"" href="""">ccn</a>"	1
according to self-declared bitcoin creator craig wright, everyone who runs a lightning node, uses privacy-centric cryptocurrency monero, or uses mixing services like cashshuffle will be guilty of money laundering and eventually suffer the brutal legal consequences. wright says that once courts figure out the money transmitter nature of various blockchain products, swift action can be expected. satoshi nakamoto calls for government regulation? wright believes that a few government orders could swiftly lead to the destruction of several blockchain systems. he acknowledges that this will not be good news for crypto investors, but he insists it’s probably on the	1
"the post <a rel=""nofollow"" href="""">craig wright: bitcoin users are money launderers &#038; will rot in jail</a> appeared first on <a rel=""nofollow"" href="""">ccn</a>"	1
&#160; bitcoin price is unlikely to hit the december 2017 highs unless the u.s.-china trade war escalates to new levels, an analyst has told kitco news. according to dailyfx’s senior currency strategist christopher vecchio, bitcoin has lately been inversely correlated with the chinese yuan. being an effective method of moving value around the world, its price appreciated as the yuan weakened: in an environment where the global financial system looks like it is potentially at risk because of the world’s two largest economies going at odds, people may be looking for alternative avenues to find ways to circumvent	1
"the post <a rel=""nofollow"" href="""">us-china trade war will boost bitcoin price to $20,000: analyst</a> appeared first on <a rel=""nofollow"" href="""">ccn</a>"	1
&#160; bitcoin is pulling back sharply as investors and traders alike look to consolidate cryptocurrency gains in 2019. one indicator, however, suggests that the selling pressure isn&#8217;t over yet. the vera convergence-divergence signal is a bitcoin volatility indicator that&#8217;s flashing warning signs. as bloomberg reports, the &#8216;vera cvg dvg&#8217; is once again flashing a sell in 2019. the first and only other sell signal this year was a red herring in late april. if traders had taken the bait then, they would have lost out on a potential 70 percent gain. a reliable bitcoin volatility indicator? traders are	1
"the post <a rel=""nofollow"" href="""">bitcoin volatility indicator suggests it&#8217;s time you sell your crypto</a> appeared first on <a rel=""nofollow"" href="""">ccn</a>"	1
in the past 12 hours, the bitcoin price dropped $7,432 on regulated crypto exchanges such as bitstamp, recording a 19 percent drop in a span of nine days. at its yearly peak recorded on may 29, the bitcoin price surged to as high as $9,096, nearly achieving a 140 percent year-to-date gain against the u.s. dollar. following the steep fall in the bitcoin price, several traders foresee the dominant crypto asset continuing its pullback in the near-term while remaining generally optimistic about the macro landscape of the crypto market. is a bigger bitcoin pullback likely? donalt, a technical	1
"the post <a rel=""nofollow"" href="""">bitcoin price plunges 18% and traders anticipate crushing drop to $6,400</a> appeared first on <a rel=""nofollow"" href="""">ccn</a>"	1
the re-election of narendra modi as india&#8217;s prime minister is going to make bitcoin trading come with a premium in the country. it is partially due to a full-fledged trading market that went underground abruptly owing to a blanket ban announced by the reserve bank of india (rbi). panicked traders shuffled to a few known cryptocurrency exchanges such as zebpay and unocoin to either withdraw or sell their bitcoins. many of them to this date trade cryptocurrencies away from the watchful eye of law and lawmakers — and they believe a potential crypto ban at the behest of	1
"the post <a rel=""nofollow"" href="""">bitcoin will be much more expensive in india under modi&#8217;s government</a> appeared first on <a rel=""nofollow"" href="""">ccn</a>"	1
bits of gold, israel&#8217;s largest broker of bitcoin and ethereum, can keep its bank account with the country&#8217;s biggest bank. that&#8217;s the decision from israel&#8217;s supreme court on monday. it overturned a district court&#8217;s earlier decision to allow bank leumi to close the israeli crypto exchange&#8217;s account. bits of gold&#8217;s second court victory this isn&#8217;t the first time bits of gold has run into trouble with bank leumi; neither is it the first time israel&#8217;s courts have sided with the crypto exchange over the big bank. finance magnates reports that the courts ordered bank leumi to continue doing	1
"the post <a rel=""nofollow"" href="""">israeli supreme court sides with crypto exchange in bank account case</a> appeared first on <a rel=""nofollow"" href="""">ccn</a>"	1
is self-proclaimed &#8220;bitcoin inventor&#8221; craig wright crazy? or is he crazy like a fox? while the bitcoin price is plunging this week, bitcoin satoshi vision — the cryptocurrency championed by wright — has notched record highs. in fact, bsv is one among a tiny handful of digital currencies whose price is climbing while bitcoin — the original cryptocurrency — is flailing. bsv climbs while btc sinks it&#8217;s unclear what&#8217;s driving this rally, but bsv has gradually been rising for the past year. its value now tops $225. for reference, bsv traded at just $70 in december 2018. that&#8217;s	1
"the post <a rel=""nofollow"" href="""">bitcoin&#8217;s pain, craig wright&#8217;s gain: bsv defies crypto bloodbath</a> appeared first on <a rel=""nofollow"" href="""">ccn</a>"	1
&#160; bitcoin will completely disrupt the entire tech industry, silicon valley, and wall street. that&#8217;s the wildly-optimistic outlook of a former executive at crypto unicorn coinbase. crypto will disrupt everything despite making a surprise exit from the cryptocurrency exchange last month, balaji srinivasan says he remains a firm believer in bitcoin&#8217;s future. srinivasan served as coinbase&#8217;s chief technology officer (cto) for close to a year before announcing his departure in may. one month later, srinivasan unleashed a tweetstorm concretizing his reputation as the most rabid of bitcoin bulls. more than just predicting that cryptocurrency could become a store	1
"the post <a rel=""nofollow"" href="""">bitcoin will conquer wall street &#8211; and everything else: ex-coinbase cto</a> appeared first on <a rel=""nofollow"" href="""">ccn</a>"	1
&#160; in the past several hours, the bitcoin price has dropped from around $8,500 to $7,732, by nearly 14% against the u.s. dollar. a pullback for bitcoin was generally anticipated by technical analysts following its 130 percent year-to-date gain. traders were taken aback by the magnitude of the drop of the dominant crypto asset in a short time frame and if the asset does not demonstrate a speedy recovery, several technical analysts forsee bitcoin testing support levels in the $7,100 to $7,300 range. why bitcoin price fell and what it would need to rebound some investors have speculated	1
"the post <a rel=""nofollow"" href="""">bitcoin price plunges 14% in violent spiral to $7,700 &#8212; here&#8217;s why</a> appeared first on <a rel=""nofollow"" href="""">ccn</a>"	1
billionaire bitcoin mining investor frank timis ranks among romania&#8217;s wealthiest citizens and britain&#8217;s richest residents. a blockbuster investigation into his personal finances reveals that, despite his life of staggering luxury, he paid less than $50 in income tax in 2017. billionaire bitcoin mining tycoon gets richer &#8211; and pays barely any taxes a bbc report exposed frank timis&#8217;s personal tax return from 2017, revealing that he had paid just £35.20 (around $44) in income tax, despite renting a £14,000-a-month penthouse and spending &#8220;thousands&#8221; dining in london&#8217;s finest restaurants. the billionaire, who has made a name in the crypto	1
"the post <a rel=""nofollow"" href="""">billionaire bitcoin mining investor frank timis paid just $44 in taxes</a> appeared first on <a rel=""nofollow"" href="""">ccn</a>"	1
the most common argument bitcoin increasing in value is its potential disruption of the haven gold market. one of the loudest evangelists of this belief, cameron winklevoss, was again urging people on twitter not to miss out on this game-changing capital transfer because of a lack of imagination. we talk about going to mars all the time. we have no limits to our imagination when it comes to space travel. but when it comes to the future of money, curiously many suffer from an acute failure of imagination. the bitcoin rocket ship is fueling up, make sure to	0
"the post <a rel=""nofollow"" href="""">winklevoss bro wants you to &#8216;book your seat&#8217; on the bitcoin rocket</a> appeared first on <a rel=""nofollow"" href="""">ccn</a>"	1
now that the bitcoin price has momentum on its side, the bulls are placing bullish bets again. the most aggressive trades are seemingly happening in the crypto derivatives market where the risk/reward profile differs vs. the spot market. now that the bitcoin price has generated returns of approximately 130% year-to-date, derivatives traders are willing to put it on the line once again. one bullish trade that has resurfaced in the crypto call options market is a bet that the bitcoin price will surpass $50,000 by this time next year, which would reflect an increase of roughly 150% versus	1
"the post <a rel=""nofollow"" href="""">bullish ledgerx crypto options bets resurface: bitcoin $50k by 2020</a> appeared first on <a rel=""nofollow"" href="""">ccn</a>"	1
&#160; just months ago, japanese tech behemoth softbank was on top of the world, and ceo masayoshi son added $5 billion to his net worth following a well-timed stock buyback program. but fortunes have turned for softbank and mr. son. softbank stock has slumped nearly 20 percent since its april highs, its uber investment is looking shaky, and new fundraising efforts are failing. meanwhile, mr. son revealed his monstrous losses from a disastrous bitcoin bet. softbank founder suffers bitcoin blues in april ccn reported on son&#8217;s brief but regrettable investment in bitcoin, writing that: &#8220;it is not known	1
"the post <a rel=""nofollow"" href="""">$100 billion softbank fund flops after ceo exposes monster bitcoin loss</a> appeared first on <a rel=""nofollow"" href="""">ccn</a>"	1
in an overnight pullback, the bitcoin price has dropped by around 2.3 percent from $8,700 to $8,500, leaving major crypto assets such as ethereum, bitcoin cash, xrp, and eos with 3 to 8 percent losses against the u.s. dollar. as the bitcoin price endured a minor correction, the valuation of the crypto market has dropped by nearly $11 billion from $279 billion to $268 billion. still, despite the short-term correction of bitcoin and the likelihood of a pullback extending throughout the upcoming days, a key technical indicator suggests that the dominant crypto asset has entered into a bull	1
"the post <a rel=""nofollow"" href="""">bitcoin bulls rage in key indicator despite $11 billion crypto drop</a> appeared first on <a rel=""nofollow"" href="""">ccn</a>"	1
&#160; shares of google are set to open lower when trading starts monday following a network outage over the weekend that affected third parties and most of the tech giant’s services. in pre-market trading, shares of the online search giant’s parent company, alphabet, were marked 2.9 percent lower. alphabet closed friday trading at $1,103.63 while pre-market trading prices on monday were $1,071.45. as previously reported by ccn, at about 3 pm et / 12 pm pt google’s cloud service in the u.s. suffered an outage. this affected users of gmail, google home, youtube as well as other google	2
"the post <a rel=""nofollow"" href="""">google stock slumps after weekend&#8217;s embarrassing network outage</a> appeared first on <a rel=""nofollow"" href="""">ccn</a>"	1
2019 has been the year of the hot tech ipo. already, uber, lyft, pinterest, and beyond meat have headlined the group of new companies coming to market. that&#8217;s not all. wework, airbnb, and slack are among other hot tech companies that are rumored to be listing their shares later this year. some of the world&#8217;s most innovative tech companies were finally an investible proposition for young investors. but there&#8217;s a dark side to this tech bonanza. insiders are cashing out with huge profits while dumping risky, high-priced stock to average joes. in many cases, these insiders include filthy	1
"the post <a rel=""nofollow"" href="""">forget overhyped billion-dollar tech unicorns, bitcoin is the best startup ever</a> appeared first on <a rel=""nofollow"" href="""">ccn</a>"	1
by ccn: forget the debate about whether we need more women in blockchain. this article isn&#8217;t about that. follow these steps to get your girlfriend interested in cryptocurrency for your self-interest. step 1: get her attention chances are if you&#8217;ve been together long, your girlfriend has heard you ramble about cryptocurrency. she&#8217;s probably even learned to tune you out at the first mention of blockchain. to stop her from zoning out this time, tell her directly &#8211; this is important to you. wife: wat r u doin on ur phone? me: this guy craig said he was satoshi but he’s not and he	0
"the post <a rel=""nofollow"" href="""">how to get your girlfriend interested in cryptocurrency</a> appeared first on <a rel=""nofollow"" href="""">ccn</a>"	1
