Article	Label
the beautiful game just got much prettier after european football giant benfica announced they’d be accepting bitcoin and ethereum payments. now, fans of the portuguese primera liga champions can pay for match tickets and club merchandise using cryptocurrency. pic.twitter.com/x3tptsccxk &#8212; sl benfica (@slbenfica_en) june 5, 2019 euro elite benfica accept bitcoin and ethereum this isn’t the first time the footballing elite has flirted with cryptocurrency, but it is the first time its been accepted as regular payment. in the recent past, italian champions juventus played around with the idea of launching its own club token. football supporters	2
"the post <a rel=""nofollow"" href="""">crypto goal! major euro football club now accepts bitcoin &#038; ethereum</a> appeared first on <a rel=""nofollow"" href="""">ccn</a>"	1
ethereum’s status as a legitimate transactional currency was confirmed once again this week &#8211; by none other than the securities and exchange commission. the sec’s recent lawsuit against kik (kin) details the particulars of the kin token sale &#8211; the public phase of which was carried out against eth, as opposed to the u.s dollar. throughout the official court document, the sec appears to accept ethereum as legitimate legal tender. this adds to similar noises made by the regulatory body in 2018, when sec officials said bitcoin and ethereum were clearly not securities. ethereum: definitely not a three-dollar	1
"the post <a rel=""nofollow"" href="""">sec suggests ethereum is usable currency in dramatic kik lawsuit</a> appeared first on <a rel=""nofollow"" href="""">ccn</a>"	1
bits of gold, israel&#8217;s largest broker of bitcoin and ethereum, can keep its bank account with the country&#8217;s biggest bank. that&#8217;s the decision from israel&#8217;s supreme court on monday. it overturned a district court&#8217;s earlier decision to allow bank leumi to close the israeli crypto exchange&#8217;s account. bits of gold&#8217;s second court victory this isn&#8217;t the first time bits of gold has run into trouble with bank leumi; neither is it the first time israel&#8217;s courts have sided with the crypto exchange over the big bank. finance magnates reports that the courts ordered bank leumi to continue doing	1
"the post <a rel=""nofollow"" href="""">israeli supreme court sides with crypto exchange in bank account case</a> appeared first on <a rel=""nofollow"" href="""">ccn</a>"	1
ethereum wunderkind vitalik buterin maintained his hardline stance on bitcoin sv in a recent interview, calling craig wright’s cryptocurrency a “complete scam.&#8221; speaking with youtuber hardcore crypto, buterin left little room for interpretation regarding his thoughts on bsv. the ethereum co-founder also gave his thoughts on decentralized exchanges and the worryingly centralized accumulation of power by binance. ethereum co-founder: bitcoin sv is a &#8216;complete scam&#8217; just in case there was any doubt remaining about buterin’s thoughts on bitcoin sv, he told hardcore crypto: “obviously bsv is a complete scam, but the delisting from binance &#8211; that was interesting.	1
"the post <a rel=""nofollow"" href="""">ethereum&#8217;s vitalik buterin slams bitcoin sv: &#8216;obviously a complete scam&#8217;</a> appeared first on <a rel=""nofollow"" href="""">ccn</a>"	1
ethereum has had a fantastic – if expected – turn-around the past few weeks, launching the second-largest cryptocurrency above $250. in the glory days of the ico run, when transaction fees were high &#8211; and demand for ether was also high &#8211; the eth price sailed over $1,000. what are the odds of that happening now, or soon? ethereum: can eth join bitcoin in four-figure territory? ethereum has faced stiff competition from other smart contract platforms, notably tron and eos. in the “enterprise” space, there are also several competitors, including neo, aelf, and more. virtually any alternative which	2
"the post <a rel=""nofollow"" href="""">will ethereum surge back to $1,000? experts weigh in</a> appeared first on <a rel=""nofollow"" href="""">ccn</a>"	1
as part of the new f1 delta time game, which is an officially recognized blockchain collectible game from formula 1 racing, some recently bought a car for $100,000. the virtual vehicle is powered to the max and will, therefore, provide a significant advantage in the game. single car token: over $100,000 bidding takes place in wrapped ether. the most recent sale ended for 415.9 ether – nearly $110,000 at current prices. the car sold is a one-of-a-kind. the auction lays to rest any notions that there aren’t people who value digital property. what blockchain brings to gaming is	1
