Article	Label
litecoin may not be immune to today&#8217;s crypto market sell-off, but the no. 5 cryptocurrency has been one of the leaders of 2019. in addition to the crypto market&#8217;s expanding value, the hashrate – which is a reflection of computing power dedicated to the network – has also been on the rise. litecoin&#8217;s hashrate reaches an all-time high once again, litecoin has been a standout, with its hashrate achieving a new all-time high, according to litecoin foundation director franklyn richards in a recent blog post. while other coins are gaining value alongside ltc, only the fifth-biggest cryptocurrency has	0
"the post <a rel=""nofollow"" href="""">litecoin hashrate skyrockets amid rumors of next-gen miner availability</a> appeared first on <a rel=""nofollow"" href="""">ccn</a>"	1
the second half of the 2019 blockchain calendar is filled with prominent development landmarks for several crypto market heavyweights either because of bullish cryptocurrency investor speculation or timely manipulation, these events often coincide with robust price pumps for the coins involved. a review of projects with imminent q2 landmarks on the horizon can be found here. in the meantime, here are five popular altcoins with tantalizing pump-worthy prospects scheduled for q3. 1. zcash (zec) &#8211; ycash ‘friendly’ hardfork free coins are on the way for holders of zcash in what has been termed the ycash &#8220;friendly fork.&#8221; the	1
"the post <a rel=""nofollow"" href="""">5 crypto assets with major pump-worthy catalysts in q3</a> appeared first on <a rel=""nofollow"" href="""">ccn</a>"	1
crypto-mania has once again gripped mainstream financial outlets. cnbc’s fast money panel were beside themselves yesterday as they analyzed bitcoin and litecoin’s parabolic rise in recent months. the panel whooped and cheered at the mention of litecoin’s 400 percent price rise. the anchor ended the segment yelling: “sell the house, sell the car, sell the kids. buy litecoin!” will #bitcoin sizzle or fizzle this summer after racing 130% higher so far this year? our traders discuss. pic.twitter.com/lyedskfvjd &#8212; cnbc&#39;s fast money (@cnbcfastmoney) may 28, 2019 pic.twitter.com/ityv1f00hi &#8212; litecoin (@litecoin) may 29, 2019 litecoin up 416% from lows the	1
"the post <a rel=""nofollow"" href="""">&#8216;sell the house, car and kids. buy litecoin!&#8217; cnbc host goes crypto crazy</a> appeared first on <a rel=""nofollow"" href="""">ccn</a>"	1
as the bitcoin price barrels toward $9,000, the cryptocurrency community is riding high. litecoin creator charlie lee is among them, retweeting a meme from 2017 when the bitcoin price was nearing the $9k level for the first time ever. now that bitcoin&#8217;s seemingly on its way back and beyond, other cryptocurrencies are also enjoying a bull run – including lee&#8217;s litecoin. ltc has added nearly 13% in the last 24 hours alone, bolstering the per-coin price to $115 on trading volume of roughly $7 billion. litecoin foundation director franklyn richards recently evaluated some of the network fundamentals, suggesting	1
"the post <a rel=""nofollow"" href="""">litecoin metrics &#038; price are strengthening but is it too much, too fast?</a> appeared first on <a rel=""nofollow"" href="""">ccn</a>"	1
litecoin price (ltc) rose above $100 friday for the first time in eight days, a move that marked the asset&#8217;s likelihood of retesting its 2019 high at $107.60. the world&#8217;s fifth largest cryptocurrency by market valuation bounced to 100.88 at 1106 utc &#8211; the highest since may 17, 2019, according to san francisco-based coinbase exchange. the surge appeared in the wake of a market-wide upside correction, in which all the leading digital assets posted impressive intraday gains. nevertheless, the session profits noted in the litecoin market were higher than those in other assets&#8217; market. the past 24-hours alone saw the	1
"the post <a rel=""nofollow"" href="""">litecoin (ltc) price soars 13% to smash weekly high of $100</a> appeared first on <a rel=""nofollow"" href="""">ccn</a>"	1
