Article	Label
the ceo of binance, the world’s largest bitcoin exchange, is courting elon musk to hop on the crypto bandwagon by teasing a proprietary spacex cryptocurrency. cz: crypto can finance space exploration binance ceo changpeng zhao made the pitch on twitter, where he quipped: &#8220;spacexcoin, elon musk. space exploration shall be funded globally using crypto. investors shall have their names inked on the blockchain.&#8221; zhao has been called the &#8220;mark zuckerberg of crypto&#8221; for his pioneering efforts with binance, which rocketed become the no. 1 cryptocurrency exchange two years after it launched in 2017. zhao earned the moniker from	1
binance ceo changpeng zhao boldly claims that cryptocurrency will reach more users than the internet in a matter of years. his wildly bullish prediction suggests that over 4 billion people on the planet will use crypto in the near future. in a few years, there will be more users in #crypto than there are users for internet today. &#8212; cz binance (@cz_binance) april 30, 2019 crypto: bigger than the internet current estimates suggest that 58 percent of the global population have access to the internet. that’s a total of 4.4 billion people with china, india, and the united	1
a few weeks after binance delisted the bitcoin sv altcoin, self-proclaimed satoshi nakamoto, craig wright, has slammed the world’s largest crypto exchange calling it a ‘super bucket shop’. in an interview with finder, wright accused binance of engaging in wash trading and money laundering: you have things like cz (changpeng zhao, binance ceo) there and binance which is super bucket shop which are basically money laundering organizations. they wash trades and money laundering. that’s how they make money. additionally, wright also alleged that the leading cryptocurrency exchange engages in market manipulation. per the self-proclaimed satoshi, binance engages in pumping the	1
atom, the native crypto asset of the highly anticipated cosmos blockchain network, has been listed by binance, the world’s largest crypto exchange. changpeng zhao, the ceo of binance, said that the development team behind cosmos refused to communicate with exchanges regarding listing opportunities but binance proactively listed it due to its support of the project. “here is a project that refused to even talk to an exchange about listing (and we have a good relationship with their tech guys), but we list it anyway. good tech wins!” said zhao. what is cosmos and why is the crypto community	2
facebook ceo mark zuckerberg is a megalomaniac who&#8217;s launching blockchain and cryptocurrency projects in order to squeeze crypto companies out of the dominance he eventually wants to assert over the space. that&#8217;s the opinion of binance cfo wei zhou. misguided bitcoin evangelists have been heaping praise on facebook for experimenting with blockchain and for saying it might launch its own digital currency. they believe that having a massive multinational conglomerate like facebook test out use cases for blockchain is lending legitimacy to the nascent industry. however, zhou — a former harvard classmate of the facebook chairman — says	1
binance coin (bnb) is the best performing crypto asset in the global market with the exception of cryptocurrencies that launched in 2019. according to onchainfx, bnb was the only crypto asset to achieve an all-time high this year since 2017 and it is down about 9 percent from its record high. in contrast, bitcoin, which has performed relatively well throughout the past year, is down about 73 percent from its all-time high. most erc20 tokens in the market are down about 90 to 99 percent against the u.s. dollar. why binance coin (bnb) appealed to crypto investors throughout	2
these are heady times for binance coin (bnb), the in-house cryptocurrency launched by the world&#8217;s largest crypto exchange, binance. bnb hit a new all-time high a few days ago and the exchange successfully launched binance chain, which features bnb and marks the coin&#8217;s independence from ethereum. the cryptosphere has been filled with noises about bnb possibly being the new &#8220;ethereum killer.&#8221; weiss ratings took the conversation a step further, suggesting that bnb might even be the new bitcoin. it seems #bnb is leading the market now – when bnb is up, the market is up – and vice	1
the world’s largest crypto exchange binance has launched binance decentralized exchange (dex) on april 23 following the official release of the binance chain mainnet. binance dex, a non-custodial and decentralized exchange that operates on top of the binance chain blockchain protocol, enables users to trade crypto assets while maintaining full control over their funds at all times, processing trades on the blockchain. changpeng zhao, the ceo of binance better known to the community as cz, told ccn in an exclusive interview that binance dex developers have worked to implement ideas suggested by developers in the crypto community to	1
binance, the world’s largest cryptocurrency exchange, announced the delisting of bitcoin sv (bsv) on monday after ceo and founder changpeng zhao decided he’d had enough of the antics of fake satoshi, craig s. wright. within hours, kraken and shapeshift followed suit. you’d have to travel far and wide to find anyone gullible enough to defend craig wright at this point, but there’s a case to be made that by delisting bsv on a whim, binance has shown itself to be a much more dangerous and pernicious force in the crypto space than bitcoin sv ever could have been. binance’s cz	1
year-to-date, the bitcoin price has increased by 44 percent against the u.s. dollar from $3,700 to $5,320, becoming one of the best-performing assets in the global market alongside oil. 2019 returns&#8230;bitcoin $btc: +39%oil $uso: +38%nasdaq 100 $qqq: +22%s&#38;p 500 $spy: +17%small caps $iwm: +17%mlps $amlp: +16%reits $vnq: +15%em $eem: +14%eafe $efa: +13%commodities $dbc: +12%high yield $hyg: +8%investment grade $lqd: +6%bonds $agg: +2%gold $gld: -1% &#8212; charlie bilello (@charliebilello) april 19, 2019 the initial 20 percent rally from bitcoin in early april from $4,200 to $5,000 drastically changed the sentiment around the crypto market and investors generally expected bitcoin	1
binance coin (bnb) is reasonably on the radar now for investors seeking bullish momentum. the binance crypto exchange&#8217;s native token established a new 52-week high, up 81.49-percent from its 52-week low price of $4.19. the move prompted bnb to come closer to retesting its all-time high price of $24.91, which was accomplished during the january 12 trading session in 2018. but are there more gains in store for this crypto asset? let&#8217;s take a quick look at its near-term market outlook to understand where it might head next. mainnet launch in focus binance on thursday announced that it would	1
over the past 24 hours, the bitcoin price briefly surpassed the $5,300 mark in a short-term spike but retraced back to the $5,200 region. in the past 30 days, as the bitcoin price gained 31.3 percent against the u.s. dollar, the valuation of the crypto market increased by $40 billion. strong performances of alternative cryptocurrencies such as enjin coin and binance coin, which recorded 404 percent and 266 percent year-to-date gains respectively, pushed the momentum of the crypto market further. technical indicators showing bullish trend for bitcoin for the first time since may 2015, a technical indicator called	1
vitalik buterin is known first and foremost as the creator of ethereum, but he&#8217;s also famous for his disdain of centralized exchanges. after previously wishing that centralized exchanges would all &#8220;burn in hell&#8221;, now buterin is coming to their defense. in an exposition reminding the crypto community about the pillars of the first amendment to the u.s. constitution, buterin tackles one of the most controversial issue dominating crypto at the moment &#8212; craig wright and his brainchild bitcoin sv. &#8220;i personally have been a critic of the power wielded by centralized exchanges. should i oppose #delistbsv on free speech	1
over a billion dollars have been raised for the reconstruction of notre dame. people with deep pockets have seized the opportunity to throw their money around, and binance refuses to miss a marketing opportunity. the exchange has an ongoing campaign to raise donations from the crypto public and its users – either anonymously or not. unfortunately, the anonymous option doesn’t come with the ability to send privacy coins. only bitcoin, binance coin, and ethereum are accepted for donations. french government may accept bitcoin donations. cz is on it the french government is looking into accepting crypto, bloomberg reports, but the	1
binance, the world&#8217;s largest crypto exchange with over 10 million users, has launched its own blockchain &#8211; the binance chain mainnet today, a highly anticipated blockchain protocol aimed to support decentralized exchanges (dex). binance will also open a decentralized exchange next week today marks the birth of a new genesis block. who&#39;s ready? pic.twitter.com/af1hvtfxzt &#8212; binance (@binance) april 18, 2019 binance coin (bnb), the native token of binance, will operate as the main cryptocurrency of binance chain and will be moved from the ethereum network. currently, bnb remains as the most valuable token on ethereum as an erc20	1
coinbase, one of the biggest crypto exchanges in the global market reportedly valued at $8 billion, has launched crypto-to-crypto trading in 53 countries including india, south korea, hong kong, and australia, stepping into the territory of binance. excited to continue expanding crypto-to-crypto trading around the globe 🌏 &#8212; brian armstrong (@brian_armstrong) april 18, 2019 the announcement comes after coinbase&#8217;s continuous listing of new digital assets throughout the past several months amidst a 16-month bear market that resulted in an 80 percent drop in the valuation of the cryptocurrency market. direct crypto trading is the new norm, says	1
binance, the world&#8217;s largest bitcoin exchange, is stepping up efforts in the crypto community to help rebuild notre dame cathedral in paris, france. the iconic 900-year-old catholic church literally went up in flames after being destroyed by a massive fire. authorities are still investigating the suspicious cause of the raging blaze. &#8216;bring crypto to religion!&#8217; binance ceo changpeng zhao threw down the gauntlet to the crypto industry, urging them to help restore the historic landmark and show the world that bitcoin can be a force for good. &#8220;if we can push crypto to the last mile of the	1
across major markets, the bitcoin price has increased by 28 percent in the past month from around $4,000 to $5,000, recording its first large spike in value since december 2018. possibly due to the general improvement in sentiment surrounding the cryptocurrency market, binance has recorded a relatively large profit in the first quarter of 2019. according to the estimates published by the block, binance generated a profit of over $78 million in the first quarter of 2019, up 66 percent from the first quarter of 2018. such a substantial increase in the profit margin of binance from early	1
in case there was any doubt, the bitcoin price has found a bottom. binance has released a comprehensive research report on the state of the crypto market, finding that the worst for crypto is probably over, which suggests it&#8217;s onward and upward for prices from here. that’s good news for investors and everyone who would like to see blockchain technology take off. &#8220;having emerged from a period of the highest internal correlations in crypto history, the data may support the notion that the cryptomarket has already bottomed out,&#8221; the binance report states. binance also published a recent report in	0
blockchain.com, one of the oldest non-custodial wallet services on the web, has decided to #delistbsv. while the official note on the subject offers no justification or reasoning, blockchain ceo peter smith posted a few tweets earlier today which indicate the philosophical drive for the decision: at @blockchain, we added support for close out only transactions (sell, send) for #bsv in january in the @blockchain wallet and have encouraged users to sell or take their #bsv elsewhere&#8230; &#8212; peter smith (@onemorepeter) april 15, 2019 in the next thirty days, we will end even close out support for #bsv transactions. to use	1
following last week’s threat to do so, binance has officially announced that bitcoin sv will no longer trade on its popular platform as of april 22nd. withdrawals must be made from the platform by july 22nd, according to an official post. the reasons cited by binance are “officious” in nature, but the community is fully aware this is related to chenpeng zhao’s annoyance at the antics of craig wright and calvin ayre, the most notable proponents of bitcoin sv. officially, the exchange lists several possible factors: commitment of team to project level and quality of development activity network	0
binance ceo changpeng &#8220;cz&#8221; zhao has followed through with his threat, announcing that the exchange will delist bitcoin sv. it&#8217;s a blow to craig wright and a reflection of the animosity that has been building against the controversial creator of the cryptocurrency. wright has been at odds with the vast majority crypto community on twitter, threatening to pursue legal action toward people calling him a fraud. incidentally, cz is in the camp that craig wright is a fraud, adding to binance&#8217;s decision to delist the cryptocurrency. meanwhile, cz already hinted that he was getting tired of wright&#8217;s attacks	1
binance ceo changpeng zhao, known as cz, slammed craig wright as a “fraud” in an ongoing twitter spat. craig wright, the driving force behind cryptocurrency bitcoin sv, has long claimed he is the founder of bitcoin and the man behind the pseudonym satoshi nakamoto. master piece! you have my full support, peter. to be clear, i don&#39;t choose sides on technology. we let market do that. i am against fraud, such as lying to be someone. as such, it is my strong opinion that: craig wright is fraud. &#8212; cz binance (@cz_binance) april 15, 2019 this isn’t the first	1
ccn previously reported on a disturbing discovery by a security researcher who had a problem with sistemkoin exchange. he found that he was able to spy on other people’s support tickets, and more to the point that most of the support tickets were related to withdrawal troubles. ccn didn&#8217;t hear back about that story at the time, but you can see sistemkoin&#8217;s comments near the end of this article. user claims funds were sent to completely wrong address sistemkoin is a medium-sized turkish crypto exchange. at the present time, they have a volume of more than $150 million. we received	0
