Article	Label
a man from the english channel island of jersey just wanted to buy bitcoin. in actuality, the unfortunate victim gave away an eye-popping $1.6 million in life savings to crypto scammers. the jersey evening post reports the thieves promised the victim 1,500% returns on his investments. according to the post, a spokesperson for the jersey financial services commission said: &#8220;the victim was engaged for over an 18-month period and they were able to build trust prior to getting the victim to send the greater amounts.&#8221; detectives and other employees at the u.k. national crime agency say it is	1
the bitcoin price surged as much as 7.60-percent on friday to establish a new 2019 peak at $5,796.93. the uptrend pushed bitcoin&#8217;s year-to-date rally to an impressive 54.08-percent. at the same time, it brought the asset&#8217;s total recovery to an astounding 82-percent and set the cryptocurrency well on its way to a fresh record high. here are three factors that indicate the bitcoin price has not only found a bottom but is also well on its way to smashing through the $20,000 peak it set in late 2017. reason 1: moving averages mimic historical pattern from 2015 yesterday,	1
bitcoin now has its very own version of “adult swim.” a cartoon called bitcoin and friends will soon be launching its second episode pending fundraising through a combination of donations and sponsorships. the cartoon features the voice of rap artist petey pablo who plays jones, a car dealer turned ice cream truck driver/drug dealer. bitcoin&#8217;s own south park bitcoin the character is born into a dark world blown out by the 2008 financial crisis. every 10 minutes or so, he spews out a bunch of children who go scurrying off-screen. satoshi nakamoto is featured in the first couple	1
even as he sues his critics left, right, and center over their refusal to recognize him as satoshi nakamoto, self-declared bitcoin creator craig wright continues to drop bombshells that ignite even more controversy. speaking during a bitcoin wednesday event in amsterdam, the bitcoin sv figurehead indicated that the only reason he outed himself as satoshi nakamoto was to right what had gone wrong with his alleged creation: &#8220;part of why i f*cking disappeared was to have things not controlled, and i have to come back to control things, to get it f*cking not controlled, that’s the freaking irony	0
the crypto virus continues to spread, and wealthy investors are rapidly contracting the bitcoin bug. that’s the conclusion from a blockbuster survey conducted by devere group, a wealth adviser with more than 80,000 clients and $12 billion under advisement. almost every wealthy investor will own crypto by 2022 the survey, which included responses from 700 devere clients across the world with at least £1 million in investable assets, found that 68% of high-net-worth investors plan to invest in bitcoin or other cryptocurrencies within the next three years. “the research shows that wealthy individuals are increasingly seeking exposure to	1
independent research firm fundstrat global advisors had accurately called bitcoin’s crash late last year when the cryptocurrency was trading at $5,500 levels, but it now believes that the bad days are over and the time to buy is here once again. when sluymer says, you listen fundstrat technical strategist robert sluymer, who had made the negative call in mid-november last year, believes that bitcoin is all set for a rally in the second half of the year as he sees bullish long-term technical trends developing. he tells clients to use the “recent weakness to accumulate” bitcoin, according to	1
in the past 24 hours, the bitcoin price has increased by 6 percent against the u.s. dollar as the real spot volume of the dominant cryptocurrency spiked to $800 million. in the first week of march, the daily volume of bitcoin was estimated to be around $270 million. in less than a month, the spot volume of the asset surged 196 percent. but, due to the controversy around tether that has created a $300 to $400 premium, cryptocurrency trader donalt said that he expects bitcoin to fall below $5,000. why bitcoin premium on bitfinex is bad news as	1
anyone who has been looking forward to watching cryptocurrency maverick and anti-virus software guru john mcafee feast on his male member stands to be disappointed. this is because the 2020 u.s. presidential candidate still stands by his prediction that bitcoin will reach $1,000,000 by the end of next year. in a tweet referencing an article in which he was mentioned as one of cryptocurrency personalities who have made bold price predictions, mcafee warned that anyone who had been planning to purchase a ‘front row seat’ to watch him eat his penis is unlikely to get their wish fulfilled.	1
where&#8217;s satoshi? henry ford fathered the auto industry, and steve jobs launched a cultural obsession with smartphones. yet the crypto industry, now at $170 billion, doesn’t know who fathered bitcoin. a new website is making the rounds on the social web, stoking speculation about what it could mean for the mystery of satoshi nakamoto. gotsatoshi.com launched around this past weekend with no hint as to who built the site, or what it’s for. the only clues are a ticking clock and promise of a &#8220;live unveiling.&#8221; is this a hoax, or an epic unmasking? let’s break down some theories.	1
the bitcoin price has increased from $5,341 to $5,587 on coinbase, getting close to surpassing a 2019 high at $5,594. in some crypto major markets, the bitcoin price surged past $5,600. according to peter brandt, a technical analyst and a best-selling author, a technical indicator called the factor’s benchmark weekly moving average (ma) has formed a similar structure it showed in 2015. “the last time factor&#8217;s benchmark weekly ma was in the current profile of turning from down to up was in nov 2015 just as $btc began its move from $340 to $19,800,” brandt said. the last	1
