Article	Label
the bank of canada and the monetary authority of singapore (mas) has conducted a successful pilot test of central bank-backed crypto assets to clear cross-border and cross-currency payments. the official statement of mas released on may 2 described the potential of “central bank digital currencies” in increasing the efficiency and reducing risks for international transactions. “the bank of canada and the monetary authority of singapore (mas) have conducted a successful experiment on cross-border and cross-currency payments using central bank digital currencies. this is the first such trial between two central banks, and has great potential to increase efficiencies	1
the london stock exchange (lse) is weighing the benefits of using blockchain technology for issuing stock and settling trades. in an interview with cnbc, the lse chief executive nikhil rathi said he was inspired by early blockchain initiatives at other stock exchanges, and sees the benefit of distributed ledger technology: “you can certainly see distributed ledger technology having an application in the issuance process… i can see that technology being used in settlement too.” lse, the world’s sixth-largest exchange, has been surprisingly open to blockchain technology. earlier in 2019, the exchange led a $20 million investment round in	1
forty percent of senior finance executives expect their firms to invest in blockchain technology over the next two years, according to a recent survey by audit firm grant thornton llp. that’s in addition to the 22 percent who report their firms have already implemented the technology. this marks a dramatic change from only a year ago, when blockchain was more talked about than practiced, according to chris stephenson, business consulting principal at grant thornton llp and author of the report. in its 2019 cfo survey, grant thornton along with partner cfo research surveyed 378 senior finance executives in	1
moody’s is one of the world’s best-known rating agencies, and it appears they are ready to admit they see some upside in blockchain technology. they also claim there are systemic risks to conventional finance from the adoption of the tech. moody&#8217;s is concerned about &#8220;concentrated risk&#8221; when using blockchain yes, you heard that correctly. moody’s angle is not that blockchain technology is displacing and disrupting archaic financial systems. instead, they argue that its application is risky: “new key transaction parties will be introduced to the process, namely the entities that serve as developer, provider, and operator of a	1
a bill introduced this week in the ohio house of representatives urges government entities to adopt blockchain, the technology underpinning bitcoin. republican state representative rick carfagna sponsored the bill. the legislation, called house bill 220, is part of ohio&#8217;s plan to provide a legal framework for distributed ledger technology such as blockchain (see text below). rep. carfagna did not return ccn&#8217;s calls for comment. the legislation would enable the establishment of a decentralized online record for transactions such as car titles or hunting licenses, according to cleveland.com. ohio has been making strides to become more crypto-friendly as part	1
sirin labs, founders of the finney blockchain phone are making 15 of their 60-person team redundant, as crypto winter bites back with sales of its flagship device &#8220;less than expected&#8221;. the market may be showing some positive signs as bitcoin, ethereum and others made strong gains in april, but the bear market continues to show its teeth, claiming the scalp of another start-up. sirin labs, founded by israeli businessman moshe hogeg, first announced the $1,000 smartphone back in july. to much fanfare they claimed it was the world&#8217;s first &#8216;blockchain-powered&#8217; handset, with one of its main selling points	1
it&#8217;s happening. the blockchain is disrupting the agriculture space, thanks to fogo de chao, a plano, texas-based brazilian steakhouse. fogo de chao revealed it will integrate blockchain technology to monitor the meat it serves from farm to table. in doing so, the restaurant is helping to catapult the cattle ranching business into the high-tech arena. cattle ranchers gain a window into the health and behavior of their animals. restaurants can track where the meat came from. and consumers can see the history of the animal&#8217;s life on a &#8220;semi-public&#8221; network using their smartphone. fogo de chao, which has locations across	1
youtube&#8217;s most popular content creator will ditch the video juggernaut in favor of crypto-based dlive in a massive win for blockchain awareness and adoption. with 93 million subscribers (and counting) felix kjellberg aka pewdiepie is without question youtube&#8217;s biggest, most successful creator, with an estimated net worth of between $30-$50 million. his &#8220;work&#8221; as a vlogger, entertainer and gamer is recognized the world over and has spawned a million imitators and helped propel the platform&#8217;s popularity, but he is leaving the site with the hope of being treated as a &#8220;real partner&#8221; at dlive. ouch! the move to the decentralized	2
ethereum co-founder vitalik buterin and a bipartisan group of lawmakers urged the south korean government to deregulate the blockchain industry. they say the current laws are overly restrictive and therefore, inhibit innovation. buterin made the remarks while speaking at a meeting of the south korean parliament, news1 reported. &#8220;blockchain is a technology that can be run without cryptocurrencies, but there is no crypto without blockchain. public blockchains rely heavily on cryptography. therefore, cryptocurrencies are absolutely necessary.&#8221; buterin: crypto and blockchain are intertwined buterin was reacting to the korean government&#8217;s &#8220;blockchain, not bitcoin&#8221; stance. south korean officials have repeatedly tried to	1
tezos is on fire, moving up from 45 cents a week ago to a high of over 60 cents. the change in bitcoin&#8217;s price probably isn’t enough to do that by itself, and tezos has been charting steadily in both markets in the same direction. luke martin, a trader and analyst, asked the question first: why is everyone talking about tezos? &#8212; luke martin (@venturecoinist) march 20, 2019 gains not based on social media buzz santiment, a bot that follows the frequency of crypto terms in social media, noted that tezos hasn’t seen a spike today: 🤔everyone?@tezos hasn&#39;t pop up	0
