Article	Label
the markets may be moving into the green, but 30 coinbase engineers will be seeing red tonight after they were reportedly laid off and the firm&#8217;s chicago office closed. it&#8217;s a sure sign that despite positive sentiment returning, the crypto bear market is still determined to shrink a few more businesses before it&#8217;s over. it&#8217;s also a signal that mainstream financial players haven&#8217;t been ready to take the plunge into crypto. a coinbase spokesperson told ccn: &#8220;coinbase has consolidated our matching engine efforts into our san francisco office. this means we are shutting down the matching engine efforts	1
the world learned recently of serena ventures, a fund owned and operated by serena williams, which has invested in companies like coinbase and masterclass. the star tennis player didn’t mention bitcoin in her instagram post, which revealed her company for the first time, but she did list companies that the firm has invested in. investing in crypto by proxy investing in coinbase is essentially an investment in cryptocurrency. coinbase’s primary function is to sell crypto to retail investors, with a growing business in its professional trading solutions and institutional custody products. coinbase is one of the largest crypto	1
coinbase, one of the biggest crypto exchanges in the global market reportedly valued at $8 billion, has launched crypto-to-crypto trading in 53 countries including india, south korea, hong kong, and australia, stepping into the territory of binance. excited to continue expanding crypto-to-crypto trading around the globe 🌏 &#8212; brian armstrong (@brian_armstrong) april 18, 2019 the announcement comes after coinbase&#8217;s continuous listing of new digital assets throughout the past several months amidst a 16-month bear market that resulted in an 80 percent drop in the valuation of the cryptocurrency market. direct crypto trading is the new norm, says	1
blockchain.com, one of the oldest non-custodial wallet services on the web, has decided to #delistbsv. while the official note on the subject offers no justification or reasoning, blockchain ceo peter smith posted a few tweets earlier today which indicate the philosophical drive for the decision: at @blockchain, we added support for close out only transactions (sell, send) for #bsv in january in the @blockchain wallet and have encouraged users to sell or take their #bsv elsewhere&#8230; &#8212; peter smith (@onemorepeter) april 15, 2019 in the next thirty days, we will end even close out support for #bsv transactions. to use	1
ccn received a “consumer warning” this morning from a crypto tax preparation firm. the warning outlines two aspects of crypto tax that the firm believes have been done wrong by other outfits – namely bitcoin exchange coinbase and intuit, the creator of turbotax. as regards coinbase, the firm writes: &#8220;the online tax guidance provided by coinbase implies that airdrops are taxable as ordinary income—which is reported on line 21 of schedule 1 of form 1040—rather than as capital gains that only become taxable when the positions are sold.&#8221; bitcoin exchange coinbase clarifies crypto tax guide we reached out to coinbase,	1
in a 45-minute long ask me anything session conducted recently on youtube, coinbase ceo brian amstrong answered a lot of interesting questions, including questions about him personally. like many of us, armstrong says he was a nerdy kid growing up and was unpopular. imagine brian armstrong as a nerdy kid he says his mother worked at ibm and the family had one of the earliest 486 models of computer, which he used to learn and experiment in technology. primarily, armstrong describes himself as a “nerd who likes to build things with technology.” i was the kid who was trying to	1
in a livestream q&#38;a, coinbase ceo brian armstrong outlined his vision for the future. among the typical crypto company goals (reach one billion users, revolutionize the economy), armstrong revealed a much stranger ambition: “overthrow some corrupt dictators in the world.” skip to 36 minutes, 36 seconds to see the segment. brian armstrong’s ambition to overthrow dictators in the q&#38;a, someone asked the following question: “what’s the most ambitious thing coinbase wants to do in five years. any weird moonshot stuff?” armstrong responded: “maybe, you know, honestly like overthrow some corrupt dictators in the world, that would be awesome.” he also	1
earlier this week, coinbase announced in a blog post that it would add stellar lumens (xlm) support to its mobile cryptocurrency wallet app coinbase wallet with its next update, which the company expects to roll out over the next week. the wallet app will support stellar’s testnet in an attempt to &#8220;aid developers and power users,&#8221; the fintech firm states. coinbase wallet adds support for stellar the stellar price barely moved on the news, though it did shoot higher after bitcoin embarked on tuesday&#8217;s mammoth rally. xlm rose an impressive 8.7 percent, though it also fell more than 5 percent	1
coinbase is taking the threat of criminals hacking activity seriously, and to prove it, the exchange revealed the details of its crypto insurance policy program this week. it’s held a hot wallet policy with a $255 million limit since 2013. the policy is facilitated through lloyd&#8217;s of london. in a post about its insurance, the exchange’s chief information security officer, philip martin, stated: the data is clear that, today, the most likely consumer loss scenario for any cryptocurrency company is hot wallet loss due to hacking. worst case scenarios covered coinbase’s insurance policies give its customers some peace of mind that	0
crypto exchange coinbase is now offering cross-border payments service to enable customers to transfer funds using ripple (xrp) and the stablecoin usdcoin (usdc). coinbase made the announcement on its website, touting the service as fast and convenient: &#8220;you can now send money to any user with a coinbase account around the world using xrp or usdc.&#8221; &#8220;by using cryptocurrencies that are optimized for cross-border transmission, you can send and receive money virtually instantly by sending those cryptocurrencies and having the recipient convert them into local currency.&#8221; &#8220;there’s zero fee for sending to other coinbase users, and a nominal on-chain network	1
the week is ending on a hugely positive note for the tezos cryptocurrency. tezos races ahead of wider crypto market the blockchain project&#8217;s native asset xtz today established a new weekly high towards $1.08 &#8211; up more than 17 percent in the last 24 hours. the latest push also brought the coin&#8217;s weekly gains to 57 percent, bringing the price a few steps closer to its november 19 high at $1.09. no other top-20 cryptocurrency came close to matching the breakneck tezos rally. volume-wise, crypto exchanges listing xtz-enabled pairs reported trading activity worth a little above $8.2 million. among those	2
coinbase custody’s 60 institutional clients, who currently store around $600 million on the platform, will be able to stake or “bake” tezos (xtz). staking or baking dividends are akin to interest in the regular world. by holding tokens and putting them up for stake, new blocks get minted. the larger your coin stash, the better your odds of finding a block. earning interest by minting blocks proof-of-stake is one of two primary models for cryptocurrencies, the first and most successful having been proof-of-work. a version of proof-of-stake called delegated proof-of-stake is present in platforms like tron. ethereum will be moving	1
the stellar cryptocurrency has completed its coinbase rollout following its listing on the retail-facing brokerage platform coinbase.com. stellar goes live on coinbase.com &#38; mobile apps the us-based crypto exchange announced just minutes ago that stellar was now available on the coinbase website and mobile apps, approximately five days after the cryptocurrency launched on order-book exchange coinbase pro. stellar price makes notable jump just before announcement the stellar price made a small, but noticeable, jump in the hours before coinbase made the announcement. shortly after 11:30 utc, xlm was trading at a global average of $0.109, according to coinmarketcap. by 13:00,	1
coinbase is the most popular u.s.-based cryptocurrency exchange. the company boasts more accounts than the likes of charles schwab. coinbase ceo brian armstrong has the ambitious goal for coinbase to become the &#8220;google of crypto,&#8221; suggesting that its relevance to web 3.0 could rival that of the internet search giant&#8217;s stamp on the early version of the internet. armstrong himself was named among fortune&#8217;s 40 under 40 list and has influenced americans for bitcoin. unfortunately, rather than being celebrated, coinbase increasingly resembles a victim of its own success. despite having more to lose than many of its peers, coinbase at	2
miguel vias, the head of xrp markets at ripple, denied allegations of paying off coinbase to list xrp on their cryptocurrency exchange. the response followed a series of bribery accusations shot towards coinbase after its sudden announcement of adding xrp trading pairs to its platform on feb 26. in contrast, the us exchange had earlier remained cautious of the said listing. as many speculate, coinbase&#8217;s careful approach was due to xrp&#8217;s controversial history with ripple labs, a san francisco startup that owns 60% of xrp &#8211; a stock worth billions of dollars. what also concerned the company was a pending $167.7 million	1
coinbase pro will have active trading of stellar lumens (xlm) by morning. the exchange announced in a blog post earlier today that it is currently accepting deposits. they are conducting the listing in a similar manner to how they did ripple, in stages. the “deposit only” stage will last until at least 1am pt. again, coinbase pro users can currently make deposits of xlm. trading will commence everywhere but new york tomorrow. coinbase pro to list stellar (xlm) against dollar, bitcoin, and euro three pairs will be listed: bitcoin, dollars, and euros. the current price of xlm is roughly 10	2
coinbase ceo brian armstrong has responded to criticisms about betraying the values of bitcoin and crypto more broadly with its recent acquisition of neutrino. those neutrino team members who previously worked at hacking team will “transition out of coinbase,” the chief executive said late monday. hacking team, one may recall, was a pioneer in selling hacking tools exploited by authoritarian governments to crack down on journalists and dissidents instead of criminals. congrats to coinbase on the acquisition of chain analysis startup neutrino! fyi, the ceo, giancarlo russo, was ex-coo of hackingteam ( who sold &#34;offensive intrusion and surveillance capabilities to	1
