Article	Label
elon musk is getting deeper and deeper down the cryptocurrency habit hole. after yesterday’s mysterious tweet which read simply “ethereum,” the tesla chief then asked ethereum founder vitalik buterin for suggestions on what to develop on the blockchain platform. what should be developed on ethereum? &#8212; elon musk (@elonmusk) april 30, 2019 buterin responded with a list of 13 real-world use cases for cryptocurrency and blockchain technology. the list included everything from payments to insurance to new governance systems. here’s vitalik buterin’s list in full. 1. a globally accessible financial system buterin highlights cryptocurrencies most obvious use case	1
e*trade financial corp. is waking when it comes to the importance of allowing its customers the ability to trade cryptos. it’s readying to allow them to trade bitcoin and ethereum, bloomberg reports. while banks and others have shunned cryptos, e*trade’s willingness to allow customers to trade them is significant. it’s another step in the mass adoption of cryptos, which have been plagued by criticism. entrance would do wonders for cryptos bloomberg spoke to anonymous sources about e*trade’s plans. allowing crypto trading would make e*trade one of the largest securities brokerages to provide the service, according to bloomberg. e*trade	1
elon musk might have the sec breathing down his neck about tesla, but he&#8217;s having some fun with crypto twitter. in a one-word tweet, he single-handily drew in the entire crypto community to his thread. the tesla ceo simply said &#8220;ethereum.&#8221; after he let the cat out of the bag, the eth price started moving, erasing declines that have weighing on the second-biggest cryptocurrency all day and turning them into gains, albeit briefly. elon musk might want to tread lightly or he&#8217;ll get the sec after him yet again for a completely different reason this time. jk &#8212;	1
a crypto trader provided ccn with documents proving that he has lost around 43 ether all told after depositing it on bitebtc on christmas eve. as we previously reported, the bitcoin exchange claimed a fire wrecked its servers, but the exchange claimed crypto wallets were safe. where there&#8217;s smoke, there&#8217;s fire nearly every tweet sent by the exchange is answered with multiple complaints about deposit and withdrawal issues. the following is an example, which allegedly shows bitebtc harassing a complaining user: pic.twitter.com/sq2xrcnbdu &#8212; mtarii2 (@mtaroe2) april 24, 2019 our tipster contacted bitebtc after the fire and was told	1
the blockchain bug seems to have bitten french banking giant societe generale to a point of no return. a little over a year ago, the third largest bank in france by assets unveiled a blockchain-based trade finance platform for all its corporate clients, the we.trade platform. now societe generale has found another use case for blockchain technology – bond issuance. in a statement, the giant lender has revealed that its covered bond unit, societe general sfh, has issued its first covered bond on the ethereum blockchain worth over $110 million. the security tokens have been awarded a triple	1
according to coindeskkorea, a crypto publication operated by mainstream media outlet hankyoreh, samsung electronics is reportedly developing an ethereum-based erc20 token and is currently in the process of creating a mainnet. a source of the publication within samsung electronics said that the blockchain task force of the company has already tested several versions of a blockchain protocol on top of ethereum. “blockchain task force made several models and are evaluating . there are already several platforms that are functioning after some internal tests,” the source told coindeskkorea. the report comes two months after samsung electronics introduced the samsung	1
these are heady times for binance coin (bnb), the in-house cryptocurrency launched by the world&#8217;s largest crypto exchange, binance. bnb hit a new all-time high a few days ago and the exchange successfully launched binance chain, which features bnb and marks the coin&#8217;s independence from ethereum. the cryptosphere has been filled with noises about bnb possibly being the new &#8220;ethereum killer.&#8221; weiss ratings took the conversation a step further, suggesting that bnb might even be the new bitcoin. it seems #bnb is leading the market now – when bnb is up, the market is up – and vice	1
years ago, a thief had a simple idea: figure out a way to guess ethereum private keys and write software to sweep the crypto funds from the blockchain. guessing the 72-character private key is no small feat – your odds are about 1 in 115 quattuorvigintillion. no, we didn’t make that number up. the researchers told wired that trying to do this without the help of high-powered computers would be like: “ choosing a grain of sand on a beach, and later asking a friend to find that same grain among a ‘billion gazillion’ beaches.” the fatal flaw	0
an official announcement from the british virgin islands says that the island protectorate has entered a partnership with a blockchain company. the company, lifelabs, makes a wallet and has a token called life on the ethereum blockchain. the wallet supports ethereum, bitcoin, and the firm&#8217;s own crypto tokens. in case of emergency: use blockchain the partnership mainly regards the facilitation of emergency funding for the british virgin islands as well as payments between islands. andrew a. fahie, premier and minister of finance for the british virgin islands, says: “it is of utmost importance that our citizens receive immediate	1
vitalik buterin is known first and foremost as the creator of ethereum, but he&#8217;s also famous for his disdain of centralized exchanges. after previously wishing that centralized exchanges would all &#8220;burn in hell&#8221;, now buterin is coming to their defense. in an exposition reminding the crypto community about the pillars of the first amendment to the u.s. constitution, buterin tackles one of the most controversial issue dominating crypto at the moment &#8212; craig wright and his brainchild bitcoin sv. &#8220;i personally have been a critic of the power wielded by centralized exchanges. should i oppose #delistbsv on free speech	1
