Article	Label
startup financing took a dramatic turn in 2017 as initial coin offerings (icos) burst onto the scene. in 2017 and 2018, more than $14 billion flowed into blockchain projects as investors looked to capitalize on crypto euphoria and the low barriers to entry made possible by the ico funding model. it has been less than a year since the market for icos went bust, but the impact of the new crowdfunding model will endure for many years to come as startups look to tokenize real assets and leverage the power of the crowd to finance their next major project. but	1
regulators can be blamed for just about everything. the team behind the thor token is pointing the finger at them for the shuttering of their own operations. however, given thor raised an impressive $21 million for its crypto project just last year, the excuse is falling on many deaf ears. there was speculation that something was amiss at the company before it made its announcement this week. for example, thor reportedly locked its telegram account so that users could not make comments. some thor token holders took matters into their own hands: because the main thor channel is muted we	0
a couple years ago, a person named nick ayton and his partner, david lofts, launched an ico to fund a television show. they then went on to found chainstarter, which helps ico-backed projects get off the ground. chainstarter&#8217;s use of 21 million ico money a deep-dive by cointelligence paints a much darker picture of the project and its goals. on yavin, a researcher at cointelligence, tells the story from beginning to end. riveting, to say the least, if you have an interest in blockchain projects, the report details how nick ayton and david lofts eventually parted ways on bad terms	1
thailand securities and exchange commission (sec) has approved a portal that would screen initial coin offering projects (icos). the securities regulator told the bangkok post they interviewed &#8220;roughly&#8221; 7-8 portals for the job of selecting icos, conducting due diligence, reviewing smart contract codes, and verifying the know-your-customer process. eventually, the sec&#8217;s board of directors approved one ico portal out of all. the commission refused to share any further details about the selected company, except that it was a non-thailand venture. archari suppiroj, the sec&#8217;s director of fintech, confirmed that the commission had forwarded its selection to the relevant government agencies, including	2
icos are not dead. not when one of the world&#8217;s biggest tech corporations is venturing into it. microsoft azure, a cloud computing service created by microsoft, recently listed stratis in its products&#8217; section. the platform, created by london-based stratis group, offers a web-based application that enables initial coin offering projects to manage token distribution. it facilitates a secure and flexible payment route that participants use to purchase ico tokens ahead of the initial allocation. they pay with either bitcoin or strat, stratis&#8217; native token. find out how @stratisplatform on #azure can help you manage a successful initial coin offering:	2
one of the most groundbreaking concepts to emerge from blockchain over its short lifespan has been the initial coin offering, or ico. in this article, the author will discuss an emerging trend called &#8220;initial exchange offerings&#8221; or ieos. reading about blockchain or cryptocurrency in any newspaper will allude to this unique type of public offering, which draws parallels with its cousin the ipo. an ico is when a company issues blockchain tokens that it will then sell in exchange for common cryptocurrencies like bitcoin or ethereum, which are more fungible. the fuzzy regulatory status of icos and their resulting tokens	1
according to a report released by kate rooney, a markets reporter at cnbc, two congressmen &#8212; warren davidson and darren soto &#8212; are preparing a bipartisan bill to exclude crypto from the country’s securities law. the bill, entitled “token taxonomy act,” is set to be introduced to the house in the months to come in an attempt to facilitate the growth of the cryptocurrency sector of the u.s. could it relieve pressure on crypto assets and tokens? if passed by the house, the bill will eliminate cryptocurrencies and initial coin offering (ico) tokens from the scope of the u.s. securities	1
the french financial watchdog, the financial markets regulator (amf), has blacklisted four more cryptocurrency websites in their ongoing mission to stamp out unauthorized crypto firms. as news of riots in france batter the world news, the amf is also using strong-arm tactics to keep then nation’s crypto sector honest and in-check with their latest move. official statement from the amf on friday the amf is the main watchdog that regulates the french stock market and announced on friday in an official statement that they have blacklisted a further four cryptocurrency websites. the reasons cited for the blacklisting of the websites	1
the dallas-based crypto startup arisebank has been ordered to repay investors to the tune of $2.7 million to fix allegations that the firm was defrauding their investors. authorities have finally put an end to the ongoing arisebank saga that has been hanging over the heads of the startup’s founders stanley ford and jared rice for almost a year. crypto startup fined by the sec according to the dallas news, the u.s. securities and exchange commission (sec) ordered the arisebank founders on wednesday to pay back investors who believed that their money was to be used to create a cryptocurrency bank,	1
over the past 24 hours, the prices of both bitcoin (btc) and ethereum (eth) have fallen by more than three percent against the u.s. dollar. the cryptocurrency market experienced an abrupt $4 billion drop in its valuation, by just about 3.5 percent. while major cryptocurrencies struggled to demonstrate signs of a potential corrective rally, small market cap digital assets and erc20 tokens plunged by more than 10 percent on average. is the bottom far from here? on december 11, the bitcoin price dropped from $3,587 at its peak to $3,370. from its daily peak, the dominant cryptocurrency is actually down	1
recently, sirin labs, an initial coin offering (ico) project that raised $158 million during the bull market of 2017, made the headlines for its controversial pivot from a hardware-based business model to supplying software to mobile phone manufacturers. according to a report released by bloomberg, nearly a year since the ico, the company has not been able to generate any profit and its mobile phone called “finney” was met with underwhelming demand from the market. the project is now facing a serious funding crunch and its capital is set to run out within 6 to 12 months. is strict regulation	1
on december 4, seven eu countries led by malta and france have established a group called the “mediterranean seven” to encourage and promote the usage of blockchain technology. in the months to come, the seven countries that include france, italy, spain, malta, cyprus, portugal and spain, will work to implement the blockchain in education, transport, mobility, shipping, land registry, customers, company registry, and healthcare. the declaration obtained by ft read: “this can result not only in the enhancement of e-government services but also increased transparency and reduced administrative burdens, better customs collection and better access to public information.” will this	1
on november 26, the financial services agency (fsa) of japan held an internal meeting to discuss the possibility of allowing private crypto initial coin offering (ico) projects. nikkei exclusively reported that local financial authorities are actively exploring the legalization of icos for institutional investors and accredited investors, as long as they are lawfully conducted within the boundaries of existing financial regulations. will south korea follow japan? following the report of nikkei, on december 2, local media outlet jiji press reported that the fsa is close to releasing an official guideline on ico regulation to speed up the process of creating	1
the u.s. securities and exchange commission (sec) is actively cracking down on crypto initial coin offering (ico) projects and a top official said earlier this year that dozens of cases are pending. the next wave of enforcement by the sec, stimulated by its recent settlement with professional boxer floyd mayweather and music producer dj khaled, is expected to be on social media influencers who have promoted icos to the general public. when is ico promotion a fraud? writers, youtube celebrities, cryptocurrency review platforms, publications, and many more individuals and organizations could be targeted by the sec if there’s sufficient evidence to	2
envion ag, a crypto-based firm that aimed to combine cryptocurrency mining with green power, has been shut down by the cantonal court of zug, switzerland. the company was reportedly dissolved due to an alleged unauthorized initial coin offering (ico) on november 28, local german news outlet handelsblatt reports. envion was established to serve as an off-grid mining company which makes use of clean, decentralized energy (like solar power or hydroelectricity) to power mobile mining units. the company raised about $100 million in funding through an initial coin offering (ico) conducted back in january 2018, before being investigated by swiss regulators for	1
sporting clube de portugal (scp), a popular portuguese football club, is reportedly considering launching an initial coin offering (ico) as an alternative way to raise funds, at a time in which it’s struggling to raise them through a bond issue. according to local news outlet dinheiro vivo, the club’s vice-president francisco salgado zenha claimed the organization is currently pondering the option, although there’s still “nothing concrete” on the subject. he was quoted as saying: “we are looking closely at an ico. we’re having meetings about it. there is a great value potential in the sporting brand.” the manager then emphasized	1
according to kobre &#38; kim government enforcement defense and securities litigation attorney jake chervinsky, the second phase of the us securities and exchange commission (sec)’s enforcement on crypto is a painful and slow grind for the sector. earlier this week, the us sec cracked down on paragon and airfox, two initial coin offering (ico) projects that raised $12 million and $15 million respectively in two different areas of the crypto market. the sec is said to have targeted etherdelta, paragon, and airfox as guidance settlements and to establish a precedent across the cryptocurrency sector, and is expected to clean up	1
over the past two years, initial coin offering (ico) projects in the crypto market have raised more than $30 billion. yet, most ico projects have little to show, especially pertaining to user growth, blockchain adoption, and overall user activity on decentralized systems. it will only get worse a handful of tokens have demonstrated success in establishing clear vision, growth paths, and valid use cases of blockchain technology that benefits users. binance coin (bnb), for instance, which already operates as the base cryptocurrency of the binance exchange, will be extensively utilized to process peer-to-peer trades upon the launch of the binance	1
the recent crackdown on two initial coin offerings (icos) paragon and airfox by the u.s. securities and exchange commission (sec) could lead to many blockchain and crypto projects declaring bankruptcy in the coming months. as ccn reported on november 16, paragon and airfox were ordered to pay a $350,000 fine to the u.s. sec and refund investors who participated in the token sale. the problem for the two tokens is that they have been asked by the us sec to refund $12 million and $15 million respectively to investors, and since their icos, the prices of cryptocurrencies including bitcoin and	1
abi dhabi securities exchange (adx) on tuesday issued a paper on crypto and distributed ledger infrastructure, emirates news agency reported. the &#8220;thought paper,&#8221; according to the $135 billion bourse, identifies the technical and operational standards required to issue crypto-assets. it specifically assists financial institutions that are undergoing a transition from conventional asset issuance to more encrypted asset issuance. rashed al blooshi, chief executive of adx, confirmed that their latest announcement has appeared in response to the growing development of blockchain infrastructure in the region. he acknowledged how their regulatory practices would need to pace up as the transition from old-to-new finance	2
here’s something we don’t hear every day: a swiss bank has opted to enable its clients to participate in initial coin offerings easily. the bank, swissquote, has previously allowed customers to trade in cryptos. this is, to say the least, an unusual service for a fiat banking institution. additionally, swissquote offers traditional forex trading and the range of services that traditional banks offer. lakediamond ico the first ico to be offered as an investment option on the banking platform is lakediamond, a lab-grown diamond company which is raising funds to purchase new equipment. they will offer more icos in the	1
cayman island-based fintech startup caspian has completed an eight-figure ico ahead of schedule. founded earlier this year, caspian ties together the biggest cryptocurrency exchanges in a single user interface. the full-stack crypto asset management platform also offers compliance, algorithms, portfolio management, risk, and reporting. its co-founders david wills and robert dykes plan to channel 40 percent of the raised $19.5 million towards research and development. the other 25 and 15 percent would go towards sales &#38; marketing and application support, respectively. the founders have also allocated a considerable sum towards building new partnerships, managing accounts and legal, and miscellaneous administration costs. “selling out	1
this morning, the u.s. senate committee on banking, housing, and urban affairs is holding a hearing on cryptocurrency and blockchain technology, featuring testimony from new york university economist nouriel roubini. roubini, as ccn reported, has been bashing bitcoin since before most of the mainstream public had become familiar with the terms “cryptocurrency” and “blockchain,” and &#8212; true to form &#8212; his senate testimony contained some real gems. here are some highlights: 1. ‘sh*tcoin’ entered the congressional lexicon by the time this article is published, roubini will have likely become the first person to use the word “sh*tcoin” in congressional testimony,	1
the european securities and markets authority (esma) is assessing every single ico operating within its jurisdiction, reuters reported on oct. 8. esma chair steven maijoor — who warned crypto investors in jan. 2018 that they could potentially lose all of their funds by investing in initial coin offerings (icos) — said that he had been observing the current regulations that can fit an ico. he added that, so far, these icos have been unable to reveal their &#8220;extra benefits&#8221; when compared with traditional capital raising companies. maijoor explained to the eu&#8217;s committee on economic and monetary affairs that some icos are similar to financial instruments and	2
