Article	Label
charlie lee can&#8217;t seem to shake his reputation for offloading his litecoin holdings near the peak. the litecoin creator was featured in a podcast with morgan creek digital partner anthony pompliano where he fielded some tough questions both about his ltc portfolio and the state of the crypto industry. something that you might not know is when charlie decided to sell his litecoins when the cryptocurrency was trading at approximately $300 he expected the price to go much higher. he said on the podcast: &#8220;i actually personally did think it was going to keep going up. i didn&#8217;t	1
the bitcoin price has increased from $5,173 to $5,297 on major regulated crypto exchanges including coinbase in the past 24 hours, by 2.3 percent. major crypto assets such as litecoin and bitcoin cash spiked by 4 to 11 percent against the u.s. dollar. the unexpected recovery of the crypto market overnight comes after the office of the new york attorney general filed a lawsuit against ifinex, alleging bitfinex of mismanaging the cash reserves of stablecoin tether. on april 30, as ccn reported, the general counsel of tether stated in an affidavit that only 74 percent of tether is	1
it&#8217;s not easy being charlie lee. it&#8217;s no secret the litecoin creator has had to deal with a crypto community that hasn&#8217;t gotten over his ltc portfolio sale. but he&#8217;s also fending off other blockchain projects, many of which have no place in the ecosystem to begin with. lee took out his frustrations on twitter, bemoaning the struggle to keep litecoin in the limelight. &#8220;watch litecoin surviving the test of time. it&#8217;s not easy fighting off all the s**tcoins and scamcoins to stay in the top 10.&#8221; litecoin is currently ranked as the fifth-biggest cryptocurrency on coinmarketcap, though	0
crypto investors should do as charlie lee says, not as he does. the litecoin creator was featured as a guest on laura shin&#8217;s unchained podcast, where he defended his decision to liquidate the holdings of the cryptocurrency that he spawned, litecoin (ltc). lee, who is a google alum, is a highly respected individual in the crypto community and his contribution to the ecosystem can&#8217;t be denied, as evidenced by a coin that has muscled its way into the six biggest cryptocurrencies. his decision to sell the cryptocurrency at year-end 2017 near the peak was simply bad pr. he	1
the litecoin price has been one of the cryptocurrency market’s top performers in 2019, climbing a ridiculous 162 percent since the new year. among large-cap cryptoassets, only binance coin has performed better, and litecoin’s year-to-date rally leaves the bitcoin price’s 40 percent advance in the dust. however, one team of crypto analysts says the sixth-largest cryptocurrency looks poised for a sell-off. litecoin price likely to crash through support &#8211; and that’s ok! writing in a note to clients on wednesday, crypto brokerage bitooda said that a downward wedge has begun to form on the litecoin chart, suggesting that	1
crypto trader mike novogratz fails to see the value in litecoin. novogratz, who is at the helm of crypto merchant bank galaxy digital, blasts litecoin&#8217;s size and in doing so seems to comes across as threatened by the fifth-biggest cryptocurrency. the litecoin price has seen its value expand by 40% in april alone, gains that if you ask novogratz would be better served by bitcoin. the former fortress hedge fund manager capitalized on litecoin&#8217;s reputation as being digital silver to bitcoin&#8217;s gold, comparing the size of the respective precious metal and crypto markets. while silver&#8217;s market cap is	1
the crypto market cap has added a staggering $32.62 billion to its valuation in the last two days. and it is not just bitcoin that is leading the pump. what started as a bitcoin rally later transformed into an altcoin-fest when bitcoin cash and litecoin began to posting winning numbers. while bitcoin cash surged from $168.50 to as high as $336.62, litecoin ballooned to almost twice its april 2 valuation, rising from $61 to a session high at $94.48. together, the world&#8217;s fourth and fifth largest cryptocurrencies injected $4.52 billion into the market. that comprised almost 14 percent of the	1
in the past 24 hours, the bitcoin price has remained stable above the $4,020 mark, unable to break out above a key resistance level at $4,200. meanwhile, a handful of crypto assets and tokens recorded gains in the range of 5 to 30 percent. polymath, the best performing crypto asset on the day, recorded a 31 percent gain against the u.s. dollar, with most of the volume coming from upbit, a major cryptocurrency exchange in south korea. as seen in the chart of polymath below, most alternative cryptocurrencies and tokens remain down about 90 percent down from their all-time highs	1
the broader crypto market has been stuck in a narrow trading range over the short-term, but there&#8217;s one cryptocurrency whose value has nearly doubled year-to-date, and that&#8217;s litecoin (ltc). the fifth-biggest coin, which is currently trading at $60.75, has benefitted from a few high-profile partnerships inked by litecoin creator charlie lee, not to mention a push toward confidential transactions. after trading in the shadow of its larger sibling bitcoin (btc) for so long, litecoin, whose primary use case is &#8220;peer-t0-peer electronic cash,&#8221; is finally forging an identity of its own. cryptocurrency prime dealer sfox outlined five catalysts that have driven	0
following a spike to $4,068 from the low $3,900 region, the bitcoin price has experienced a slight pullback to $4,000. while the price of bitcoin slightly differs from region to region, on average, bitcoin is currently being traded at $4,017. against tether (usdt) on binance, bitcoin has dipped below the $4,000 mark to $3,975. minor pullback before promising rally or retest of previous bitcoin supports? following a 3 percent increase in the price of bitcoin, several traders expected the dominant cryptocurrency to undergo a minor pullback. for over three months, bitcoin has remained in a relatively tight range between $3,700	0
