Article	Label
sbi holdings, a major financial and banking giant in japan, has formally announced the launch of sbi mining chip co., ltd., officially entering the bitcoin mining industry. in recent months, the most dominant forces in the global bitcoin mining industry in the likes of bitmain, cannan, and japanese internet conglomerate gmo have struggled to adjust to market conditions. as the bitcoin bear market extended to a 15-month correction, despite the gradual increase in hash power, the demand for bitcoin mining due to the general decline in profitability of mining noticeably dropped. the entrance of sbi holdings into the mining market	1
iran is in the middle of a bit of an economic crisis right now. due to hiccups caused by the sanctions that were imposed by the united states government a while back, the government of iran has had its hands full with merely keeping its economy afloat. due to this, it would appear that the citizens are taking matters into their own hands. having started using cryptocurrency for transactions with the rest of the world, they have now turned to bitcoin mining as a means of making ends meet, according to a report on the atlantic council. the u.s. imposed	1
nvidia corp., one of the biggest manufacturers of chips for computer graphics cards, gave their sales forecast on thursday, november 15, 2018, revealing the loss of demand that happened as a result of the decrease in cryptocurrency mining. according to the financial results for the third quarter of the 2018 fiscal year. the california-based company’s stock fell as much as 19%, as they also reported that their revenue was lower than expected. nvidia has actually been on a hot streak in recent years. the company has seen its share price shoot up from $12 in 2012 to an all-time high of	1
five men in south korea were arrested on thursday for illicitly injecting crypto mining malware into more than 6,000 computers. local police and the korean national police agency cyber bureau said in an official statement that a group of five hackers led by a 24-year-old kim amu-gae released 32,435 emails containing cryptocurrency mining malware targeting desktop users in south korea. in a period of two months from october to december in 2017, the group of hackers sent messages containing malware to tens of thousands of job applicants, posing as employers. why people had to fall for it according to the	0
bitfury, a crypto mining company, has announced the closing of a private placement investment of $80 million, bringing the total funds raised by the firm to $170 million since its series a round in 2014. the round, according to an official press release, was led by a paris-based venture capital firm korelya capital. mike novogratz&#8217;s galaxy digital, macquarie capital, dentsu inc., armat group and others also participated in the series c funding round for the san francisco crypto company. greg revenu, managing partner of bryan, garnier &#38; co, a europe-based investment bank, which is also the sole financial advisor and	1
the world’s largest crypto mining equipment manufacturer bitmain has finally filed an initial public offering (ipo) with the stock exchange of hong kong. bitmain, which has demonstrated absolute dominance over the lucrative bitcoin mining market for many years, is yet to disclose its target valuation. but, local analysts have stated that the success of the bitmain ipo will represent the demand for the cryptocurrency market by both retail investors and institutions in the hong kong market. 74.5% market share the merit of purchasing equity of bitmain through its ipo is quite clear; as its official ipo document explicitly emphasized, bitmain	1
iceland has long been a prominent hub of bitcoin mining due to 98% of its electricity coming from renewable geothermal energy and a cold climate favoring mining farms which must be kept cool can run massive air conditioning bills in warmer areas. the power usage effectiveness (pue) of the country is as low as 1.03, almost twice as cost-effective as many nearby countries in continental europe where the average is 1.78. as such, iceland is home to international mining firms like genesis and bitfury which have set up in the nation to capitalize on the natural advantages and now dwarf	2
in today&#8217;s climate of icos with 100 billion token supplies, it can be easy to forget that the total supply of bitcoin is incredibly low &#8211; 21 million. the 17 millionth bitcoin has been mined, and there are only 4 million left. the built-in artificial scarcity is one of the most important characteristics of the currency, and the reason for the high price &#8211; bitcoin is rare! here is the way to think about bitcoin. there are 17 million bitcoins outstanding, each costing about $8000. are there 17 million people in the world who could afford 1 bitcoin? that would	1
uncertainty in the cryptocurrency mining market has led to the world&#8217;s leading chipmaker, taiwan semiconductor, to lower its revenue forecast for the year. adding insult to injury, weakness in demand for apple&#8217;s iphone, for which taiwan semi is the supplier, is also weighing on this year&#8217;s expected sales. meanwhile, bitcoin mining was the champion of 2017, helping to drive taiwan semi&#8217;s 2017 revenue results higher by 6%, including a 10.1% increase in the fourth quarter alone. now volatility in the bitcoin price, which has cut into miners&#8217; profits, is taking its toll. &#8220;for the whole year of 2018, we forecast the overall semiconductor market,	1
bitmain, chinese cryptocurrency mining company, has been given a green light to set up a blockchain facility in western walla walla county, a county in the u.s. state of washington. local newspaper union-bulletin wrote that the decision was in complete agreement of the three commissioners involved in the situation. last month, ccn reported that ant creek was in talks with the officials to buy land in the port of walla walla. bitmain&#8217;s co-founder, jihan wu, was listed as the governing person of the company, with jeff stearns as the director of operations. the initial deal included leasing 40 acres of land	1
according to a statement released by the florida department of law enforcement (fdle), an employee at the department of citrus was found using state-owned computing hardware to mine cryptocurrencies. the perpetrator, matthew mcdemott, served as the information technology manager for the department, which overlooks the functioning of the citrus industry in florida. the fdle arrested mcdermott shortly after the discovery and had him transported to polk county jail. the cryptocurrency mining operation was discovered after an evaluation of the department’s utility bill amounts. according to the department’s inspector general, the months between october 2017 and january 2018 saw a jump	1
microsoft has released a blog post discussing the emerging threat of malicious cryptocurrency miners. the post from the windows defender research blog noted that the number of enterprise computers encountering unauthorized coin miners doubled from december to january 2018. microsoft suggest that the reason for this rise is that cyber criminals are moving to this form of attack due to the exponential increase in cryptocurrency valuations. along the way attackers are ditching ransom and other attacks, which have seen a marked fall. according to microsoft, malicious coin mining can come in various forms and can be distributed in many different	1
electronics bazaars in asia are receiving a flood of international buyers looking for cheap cryptocurrency mining equipment. equipment including components such as gpu&#8217;s, motherboards and fans, can be as much as 50% cheaper here than in europe. at many locations, customers can also have their mining rigs assembled by sellers while they wait, and still pay less. one key destination is hong kong&#8217;s sham shui po market, which is made even more attractive due to the lack of sales tax. however, the boom in sales is being felt across asia &#8211; a welcome respite. sales had been falling in recent	1
nvidia just had an earnings call this month, and the company had posted better than expected results, due to which the stock prices shot up above $240. goldman sachs had predicted a successful quarter for nvidia last month. gpu mining has been the driving force for nvidia lately because of the popularity of their cards among miners. last year, when the cryptocurrency market exploded, it became extremely lucrative to set up gpu-based mining for currencies like ethereum and zcash. with the increase in price for ethereum and it’s general difficulty, the roi is usually less than six months. there’s so	1
amd has announced plans to boost its production of graphics cards amid a global shortage with demand for them driven by their use in mining cryptocurrencies. amd released earnings for q4 2017 on tuesday, announcing revenues of $1.48 billion, a 34 percent year-on-year increase. of that total revenue, the company’s computing and graphics division contributed $958 million, up 60 percent from the same quarter in 2016. demand for gpu processing power has surged due to a spike in interest from the blockchain and cryptocurrency community. in an investor call, amd ceo and president dr lisa su told investors that the	2
nvidia, the company that has long catered to gamers, has recently requested retailers to restrict graphics cards availability to the non-gaming community. specifically, away from cryptocurrency miners. according to computerbase, nvidia&#8217;s spokesperson boris böhles stated that gamers will always be their priority, &#8220;for nvidia, gamers come first. all activities related to our geforce product line are focused on our main audience. to ensure that geforce gamers continue to have good geforce graphics card availability in the current situation, we recommend that our trading partners make the appropriate arrangements to meet gamers&#8217; needs as usual.&#8221; in advising retailers to control their sales,	1
this is a submitted sponsored story. ccn urges readers to conduct their own research with due diligence into the company, product or service mentioned in the content below. the process of crypto mining requires large amounts of energy. for example, in the case of bitcoins, a research done by powercompare shows that electricity used to mine it in 2017 is much bigger than the annual usage of 159 countries. there is a great concern about what the environmental impact would be from all this electrical usage. most of this electricity is generated from carbon dioxide fossil fuels. large amounts of energy	1
the bitcoin network consumes more electricity than 159 individual countries including ireland, a new report by cbs revealed. in contrary to most claims, bitcoin’s massive consumption of electricity is a positive aspect of the cryptocurrency, as it provides more security value to the network. proof-of-work is important for bitcoin earlier this year, in a response to jpmorgan ceo jamie dimon’s baseless condemnation on bitcoin, security expert john mcafee stated on cnbc’s fast money that bitcoin is a better store of value and a currency than all fiat currencies including the us dollar, because of its decentralized nature and the resources	1
claire ingram bogusz, a researcher at stockholm school of economics, noted that sweden’s bitcoin market is growing at a rapid rate, due to friendly regulatory frameworks for fintech startups and cryptocurrency mining. “sweden is among the leaders in the global bitcoin market. there’s a very high-level of knowledge about it here, and a high-level of digital competence in the fintech space. we may not be the size of hong kong or london, but it’s hard to find that level of digital competence in other financial centres,” said bogusz. will sweden become the next cryptocurrency mining hub? sweden is already the	1
throughout this week, false reports regarding the legality of bitcoin and cryptocurrency mining have emerged. local sources have revealed that bitcoin mining is not banned as of yet. unconfirmed reports and rumors initially, sichuan electric power company, released an unconfirmed circular which claimed that the use of electricity to produce and mine bitcoin is illegal. caijing, an independent news publication based in beijing, first reported on the circular released by sichuan electric power company, and more media outlets followed. cnledger, a trusted news source of the chinese cryptocurrency market, quickly debunked the report, after sichuan electric power company admitted that	1
bittrex, the third largest cryptocurrency exchange in the world by trading volume, has released an official statement regarding the segwit2x hard fork scheduled to be executed on november 16. original bitcoin blockchain will continue as “btc” in the statement, julian yap of bittrex emphasized that the original bitcoin blockchain will continue with the moniker “btc” after the segwit2x hard fork occurs later this month. similar to other leading cryptocurrency trading platforms like bitfinex, bittrex intends to have the market decide which version of bitcoin will be known as the majority chain. the statement read: “in the event of a chain	1
several sources including the wall street journal have reported that the chinese government and its regulators may target bitcoin mining operators in the region following the imposition of a nationwide ban on cryptocurrency and bitcoin exchanges. experts in the cryptocurrency sector and mining industry including john mcafee strongly believe that the chinese government will not order a crackdown on bitcoin mining centers and operators. as cryptocoinsnews previously reported, mcafee revealed that jihan wu, the co-founder of bitmain, the world’s largest bitcoin mining equipment manufacturer that is reportedly valued at billions of dollars, told mcafee in a meeting with roger ver	1
the bitcoin community is abuzz with news that bitmain bitcoin miners allow for remote code execution which can shut-down 70% of the hashrate. we asked jihan wu for comments, specifically whether it’s true “it could allow bitmain to shut down 70% of the hashrate.” his reply: “it’s true.” in a public statement, bitmain said: “we need to clarify the intention of having this feature. we planned to add this feature to the code to empower customers to control their miners which often times can be hosted outside their premises. this was after more than one incident of miners being stolen from	1
