Article	Label
according to reporting by the block, the value of shares in circle, a privately-owned crypto company, has dropped dramatically over the last year. frostbite: bitcoin unicorn circle suffers sinking valuation amid crypto winter referencing a platform called sharespost, the report indicates that the stock has dropped from an opening price of $16.23 to $3.80 as of today. sharespost enables accredited investors to buy and sell shares in private companies. earlier, r3 advisor tim swanson tweeted that more major cryptocurrency companies are trading well below their most recent valuations in the secondary markets. at least one secondary market for private companies is	0
crypto heavyweight circle stated in a blog post that their otc (over-the-counter) business has facilitated over $24 billion worth of trades. this is a huge number given that otc trading volumes are not reported publicly and there have been growing discussions about institutional investor activity over crypto otc desks. circle trade has become a core liquidity provider to the entire crypto ecosystem circle claimed that over 600 counter parties executed over 10,000 trades over 2018. these trades spanned over 36 assets, and primary consumers of the desk include miners, founders, hedge funds, proprietary trading firms, crypto funds, and vc&#8217;s. circle trade,	1
as we previously reported, circle’s poloniex participation in the stablecoin wars is evident in their decision to not charge fees on use of usdc on their platform. for the month of november, trades in usdc were not charged any fees at all. according to an e-mail blast from poloniex, this amounted to more than $500,000 in trading fees not accrued by them. now they’ve decided to extend the fee holiday through december on btc/usdc, a pair that is undoubtedly hot given the price situation with bitcoin. some are trying to exit and some are trying to enter, and a newfound	1
bitfinex has announced a new financial instrument on its platform in response to the upcoming hard fork of the bitcoin cash blockchain. noting a sizable increase in short bets on bch – traders apparently believing that the split will have a negative impact on the per-coin price of bitcoin cash – bitfinex has created something called the chain split token. to prevent any risk of manipulation and hence to maintain a healthy market we have decided to use the chain split tokens (cst) approach to govern this particular event. this is a slightly different approach to the situation than poloniex	1
if you want to trade bytecoin on poloniex, you’re going to have to wait a significant amount of time, ccn has learned. this reporter decided to enter the bch pre-fork trading at the exchange and wanted to use his bytecoin holdings as part of that process. he withdrew them from where they were held and properly made the deposit, using the payment id required by poloniex and paying the requisite transaction fees. hours after other deposits had cleared and coins had been converted to pre-fork bchabc and bchsv tokens, the bytecoin had still not arrived. in bytecoin standard transactions, 10	2
in case you missed it, poloniex, one of the major altcoin exchanges, was acquired by circle in february. previously, circle was focused primarily on the major coins versus fiat pairings, but since its acquisition of poloniex it has had the opportunity to dive into more tokens, and in september it launched its own stablecoin to compete with tether (usdt) and the gemini dollar (gusd), which was launched around the same time. the purpose of “stablecoins” is to help traders denominate their cryptos without creating a crypto-to-fiat event as well as to have coins that are pegged with some degree of	0
partisans in the looming bitcoin cash civil war now have the opportunity to put their money where their mouths are, and that money is quickly piling up on one side of the debate. poloniex opens pre-fork bch market earlier today, cryptocurrency exchange poloniex became the first crypto trading platform to allow users to trade coins on both sides of the contentious hard fork, which is scheduled to activate on the bch network on nov. 15. from the announcement: “we believe the responsible thing to do in this case is remain neutral and allow the community to decide which chain to	0
poloniex, the exchange circle has been working to revive since acquiring it in february, announced in a blog that it will eliminate its margin and lending products for u.s. customers by year&#8217;s end and delist three altcoins. the company noted it is removing the margin and lending products in the u.s. to ensure the exchange complies with regulatory requirements, although it did not specify what requirements. as of oct. 10 at 12:00 et, the exchange will delist gno (gnosis), amp (synereo) and exp (expanse). customers will be able to close out all trades and withdraw balances for these assets up	1
poloniex, one of the oldest crypto exchanges in the global market, has become a major digital asset trading platform once again after years of stagnation. until 2015, poloniex was one of the largest crypto exchanges alongside coinbase. it was the go-to exchange for traders investing in smaller trading pairs like tokens and alternative cryptocurrencies. but, controversy around the legitimacy of the exchange and the operating team of poloniex led the platform lose out in tight competition, falling behind bittrex, bitfinex, binance, okex, huobi, hitbtc, and many other major cryptocurrency exchanges. circle’s acquisition leads to revival in february, circle, a cryptocurrency	1
bitcoin dark (btcd), a cryptocurrency that planned to compete with bitcoin and has been around since 2014, has recently seen its price surge from about $20 to a $100 peak in a matter of hours, before correcting to $80 at press time. this means the cryptocurrency is currently up by over 277% in the last 24-hour period. historical data shows its trading volume has also surged, form an average of about $100,000-$200,000 a day to nearly $1 million. the cryptocurrency, according to coinmarketcap data, is currently traded on poloniex and trade by trade. its trading pairs on poloniex – btcd/btc	1
goldman sachs-backed cryptocurrency exchange circle now has a new investor to its name, the chinese crypto mining giant bitmain. a new investment round led by bitmain values the exchange at $3 billion and also includes other notable names like accel and blockchain capital. along with the new funding round, circle also announced their plans for a new stable cryptocurrency, circle usd (usdc) which would be pegged to the us dollar. circle claims unlike their competitors, the stable coin would be based on the open source fiat stable coin framework developed and governed by centre. initially announced late last year, centre	1
