Article	Label
a ccn historical analysis of the dow jones industrial average index&#8217;s performance the day after easter over the last 25 years indicates a modest gain on easter monday. how you might use this information on easter monday trading depends on your investment and savings strategy, with some contextualization regarding 2019&#8217;s equity markets. dow usually gets a small bump on easter monday on april 4, 1994, the dow opened at 3635.39 after the easter weekend break. it lost 42.04 points by the market close on easter monday that year. the following three years&#8217; of easter mondays were all routs.	1
it is no news by now that the long-awaited mueller report has revealed extensive russian efforts to interfere with the 2016 u.s. presidential election. while much attention has been focused on whether or not president donald trump was in any way complicit with these efforts, what is less reported is that the report showed that state-backed russian operatives used bitcoin extensively in their attempts to impede hilary clinton and help donald trump&#8217;s campaign. according to the report, agents working on behalf of russian military intelligence used bitcoin to do everything from purchasing vpns to buying domains hosting political	0
the ruthless bitcoin bear market of 2018 has claimed numerous victims, including many crypto startups and executives. the latest is former ey blockchain leader angus champion de crespigny, who&#8217;s leaving the industry. champion de crespigny made the revelation on twitter, where he insists that he&#8217;s still bullish on bitcoin. however, he&#8217;s discouraged by how long he believes it will take for mass adoption, and doesn&#8217;t want to wait around. as recently as november 2019, angus was touting blockchain and cryptocurrencies at a conference (video below). champion: institutions are dragging their feet champion de crespigny worked for 11 years	1
a big shakeup at argo blockchain, the beleaguered bitcoin mining company that owns argo mining, has revealed that a rothschild-linked london oil tycoon with a shadowy past just did the cannonball dive into the deep end of the crypto mining pool. as if you needed any more evidence that bitcoin has found the bottom of its year-plus-long bear slump, with the foundations already laid for a massive bitcoin bull run in 2019! bitcoin mining firm fires top brass, onboards oil barron frank timiș, a 56-year-old romanian-australian businessman worth over $2 billion with deep interests in oil and gold	0
amongst the litany of bearish naysayers, one bullish voice still screams louder. larry fink, the ceo of the world’s largest asset manager &#8211; blackrock &#8211; is sticking firmly to his forecast that there is no bogeyman waiting to slaughter the us stock market. blackrock not worried about recession battering stock market the billionaire investor made his comments to handelsblatt. mr. fink, it seems, is not perturbed by the much-publicized “fed pause”: “i see no signs of a global recession in the coming 12 months… the central banks have loosened their policy above all because of the weak fourth	1
tesla billionaire elon musk’s rocket company spacex suffered another setback when one of its crew dragon capsules encountered a mysterious “anomaly” during engine tests being carried out at the cape canaveral air force station on april 20. the spacex facility in florida was covered in dense orange smoke, though the so-called anomaly was brought under control without any injuries, reuters reports. spacex crew dragon capsule encounters mysterious &#8216;anomaly&#8217; spacex said in a statement: &#8220;the initial tests completed successfully but the final test resulted in an anomaly on the test stand.&#8221; nasa has been notified about the results of	1
according to alex krüger, an economist and a global markets analyst, the breakeven cost for efficient bitcoin mining operations currently hovers at around $3,550. the bitcoin mining operational breakeven for efficient mining operations currently stands around $3550. pic.twitter.com/gqrnybcvlh &#8212; alex krüger (@krugermacro) april 21, 2019 across major cryptocurrency markets, the bitcoin price is at $5,265, which for miners presents a substantial profit per every block mined considering the breakeven price of $3,550 and the potential appreciation of bitcoin. does it mean the start of a bitcoin bull market? while the analysis krüger uses the rate of electricity at	1
joe biden is finally on the verge of launching his presidential campaign, and many swamp-dwellers believe he is the best bet to dethrone donald trump in 2020. however, democrats should be deeply concerned, as obama&#8217;s ex-vp could turn out to be hillary clinton 2.0. joe biden: an older, grabbier hillary clinton what makes joe biden like hillary clinton? well, it isn’t his popularity. primarily due to his association with obama, the ex-vp has a positive public image among left-leaning voters. practically everyone disliked hillary. sexists hated her because she was a woman, feminists disliked her for how she	1
if you&#8217;re placing bets on where the bitcoin price is going next, the data is overwhelmingly in favor of a bull market. crypto analyst willy woo attaches a whopping 95% or higher probability that the worst is over for btc. woo participated in an online debate hosted by derivatives trader tone vays, the topic of which was whether or not the bitcoin price has bottomed. incidentally, the two traders couldn&#8217;t be further apart on the bitcoin price spectrum. woo is a technical analyst and spends his days pouring over charts and data. as far as he&#8217;s concerned, the	1
four members of tesla&#8217;s board of directors are stepping down and won&#8217;t stand for re-election once their terms end. ceo elon musk remains, but the tesla board will eventually drop from 11 to seven members by 2021. the electric car maker revealed the surprising news in an april 18 sec filing. tesla says the realignment was needed to streamline the board so it can &#8220;operate more nimbly and efficiently.” the four departing board members are: brad buss. antonio gracias. stephen jurvetson. linda johnson rice. shareholders sued tesla&#8217;s 11-member board the changes come several weeks after tesla&#8217;s entire 11-member board	1
