Tweet	Label
sarahhollidayyy never forget the time my brother missed the bus and wrote my mom this note	2
oracleofalts if ripple hits 50 cents by tomorrow i ll send 1000 xrp to all followers that retweet this warren b	1
binance has over 13 million users join the 1 crypto exchange aion waves strat xin	2
lionel46294550 thecrypthawk xrpnews ripple moneygram digitalassetbuy bankxrp hahaha who doesn t know busin	1
kieranmlkelly ercrypto74 xrpcenter thecrypthawk ripple moneygram bankxrp leohadjiloizou haydentiff	1
kinstribution kik vs sec based on the current facts who is more likely to win in court kinfeattweet enter to win 100 kin by re	1
kendallraekay my bank account begging me to stop making impulsive me on my way purchases to target ht	1
kieranmlkelly ripple moneygram but look at this announcement	1
bankxrp ripple scales the alps after getting listed on switzerland s commercial registry in a push for global xrp adoption	1
june 4 2019 ripple switzerland llc obtains commercial registry social purpose sale of digital assets	1
ironhaloxrp amex vp on xcurrent ripple offers instantaneous point to point conversations between the sender and receiver of funds	1
coinfieldex cointelegraph talks about our visions potential and xrp as the base currency in about 30 trading pairs available in ove	1
brnagnews nh late plant19 and ripple effects weigh on farmers michigansoybean brownfield agnews	2
satozilnakamoto zengo launches first non custodial wallet without private keys threshold signature scheme tss for zil btc et	1
sheriucar european central bank bitcoincash has been considered vital in terms of usage in a recent report covering the implications	1
haydentiff rocketm93375441 xrpcenter thecrypthawk ripple moneygram kieranmlkelly bankxrp leohadjiloizou	1
ewarren right now washington is broken but i still believe in bobby kennedy s ripple of hope i believe that history is shaped from	0
officialripple please rsvp if available and interested in promotional work with ripple marketing interviews tomorrow thursday the	2
ewarren right now washington is broken but i still believe in bobby kennedy s ripple of hope i believe that history is shaped from	0
officialripple we are now ripple marketing they say that small ripples make big waves and at ripple marketing that s exactly what	1
ewarren right now washington is broken but i still believe in bobby kennedy s ripple of hope i believe that history is shaped from	0
haydentiff xrpcenter thecrypthawk ripple moneygram kieranmlkelly bankxrp leohadjiloizou dave jonez 02 sentosumosaba c3 nik	1
tonymission haydentiff xrpcenter thecrypthawk ripple moneygram kieranmlkelly bankxrp leohadjiloizou	1
on the way to be the biggest bank in the world cred lba formerly libra credit money2020 coinbase	1
seahamfoodfest got a sweet tooth indulge this weekend at seahamfoodfest from raspberry ripple macarons to magical mermaid cupcakes	2
dreadbong0 after partnering with sia group quant network have already achieved what ripple and stellar couldn t that s not a matt	1
bankxrp ripple switzerland gmbh ripple switzerland llc the purpose of the company is the sale of digital assets xrp to institutio	1
willywonkaxrp what if sbi has bought moneygram that would be the best scenario if there is any truth to the rumor this way ri	1
haydentiff xrpcenter thecrypthawk ripple moneygram kieranmlkelly bankxrp leohadjiloizou dave jonez 02 sentosumosaba c3 nik	1
xrpcenter june 4 2019 ripple switzerland llc obtains commercial registry social purpose sale of digital assets xrp to in	1
xrpcenter hype scam alert thecrypthawk circulated a false rumor earlier about ripple acquiring moneygram warning this account	0
haydentiff xrpcenter thecrypthawk ripple moneygram kieranmlkelly bankxrp leohadjiloizou dave jonez 02 sentosumosaba c3 nik	1
tweetbenmax how many people did they poll what age groups the moment you take out anyone 50 biden drops below b	1
xrpcenter hype scam alert thecrypthawk circulated a false rumor earlier about ripple acquiring moneygram warning this account	0
toko231990 news ripple bought moneygram on monday access to walmart ripplexrpie gordongekko369	1
hotwaxmedia thecrypthawk xrpnews ripple moneygram digitalassetbuy bankxrp why if moneygram goes bust the on	1
ewarren right now washington is broken but i still believe in bobby kennedy s ripple of hope i believe that history is shaped from	0
ripple s intervention will reduce xrp sales even as price falls 4 9	1
xrpcenter thecrypthawk ripple moneygram kieranmlkelly bankxrp leohadjiloizou haydentiff dave jonez 02	1
bambooxrp ripple scales back xrp sales this quarter what if ripple was just previously selling some of it s xrp in order to becom	1
